k,unsupervised_method,gap
2,bge,0.35389683794466403
2,bge,0.214660606060606
2,bge,0.3186496131528046
2,bge,0.20568333333333333
2,bge,0.1733575757575757
2,e5,0.47516347962382444
2,e5,0.30688636363636357
2,e5,0.31804772727272723
2,e5,0.2920030303030303
2,e5,0.1674651515151515
2,fasttext_pretrained,0.41220616161616164
2,fasttext_pretrained,0.33310606060606057
2,fasttext_pretrained,0.41707489177489177
2,fasttext_pretrained,0.32970151515151513
2,fasttext_pretrained,0.3139954545454545
2,glove_pretrained,0.4143197727272728
2,glove_pretrained,0.32182424242424246
2,glove_pretrained,0.38177477272727267
2,glove_pretrained,0.30121818181818183
2,glove_pretrained,0.31078181818181816
2,gte,0.4475391774891775
2,gte,0.17376060606060606
2,gte,0.3099837944664031
2,gte,0.22703787878787884
2,gte,0.12800303030303029
2,instructor,0.3357494949494949
2,instructor,0.21895303030303037
2,instructor,0.3473045454545455
2,instructor,0.19595303030303035
2,instructor,0.18067727272727274
2,minilm,0.326343062200957
2,minilm,0.18585303030303035
2,minilm,0.3628620553359684
2,minilm,0.17769242424242415
2,minilm,0.17418939393939403
2,mpnet,0.2836045454545455
2,mpnet,0.19746818181818193
2,mpnet,0.32249991423670676
2,mpnet,0.18744848484848486
2,mpnet,0.11939848484848492
2,sbert,0.39086363636363636
2,sbert,0.21516818181818187
2,sbert,0.3354527444253859
2,sbert,0.20041969696969697
2,sbert,0.2082166666666666
2,sroberta,0.38937161234991424
2,sroberta,0.21264848484848486
2,sroberta,0.34363684719535786
2,sroberta,0.19835454545454545
2,sroberta,0.15677878787878785
2,w2v_pretrained,0.4350409090909091
2,w2v_pretrained,0.29016969696969697
2,w2v_pretrained,0.35006616161616166
2,w2v_pretrained,0.26354696969696967
2,w2v_pretrained,0.3020378787878788
2,w2v_self,0.4253712121212121
2,w2v_self,0.40357171717171714
2,w2v_self,0.41261818181818183
2,w2v_self,0.3473181818181818
3,bge,0.4570737412587412
3,bge,0.3727331818181817
3,bge,0.385178961038961
3,bge,0.3532713636363636
3,bge,0.3023222727272727
3,e5,0.5343468181818182
3,e5,0.4172236363636363
3,e5,0.4877560018552875
3,e5,0.39312545454545444
3,e5,0.3283636363636363
3,fasttext_pretrained,0.5709648737373737
3,fasttext_pretrained,0.4532768181818181
3,fasttext_pretrained,0.5728051515151514
3,fasttext_pretrained,0.431970909090909
3,fasttext_pretrained,0.4235977272727272
3,glove_pretrained,0.5222461852704258
3,glove_pretrained,0.4424222727272727
3,glove_pretrained,0.5369272529644268
3,glove_pretrained,0.42615045454545447
3,glove_pretrained,0.43871227272727265
3,gte,0.47203396103896095
3,gte,0.342395909090909
3,gte,0.45909496632996627
3,gte,0.3277418181818181
3,gte,0.28859818181818175
3,instructor,0.6646604545454545
3,instructor,0.3729663636363636
3,instructor,0.5060708181818181
3,instructor,0.3392145454545454
3,instructor,0.32191954545454543
3,minilm,0.45438218403547664
3,minilm,0.3639327272727272
3,minilm,0.4594689700805523
3,minilm,0.33936818181818174
3,minilm,0.3378377272727272
3,mpnet,0.42819177616501136
3,mpnet,0.354685
3,mpnet,0.4299768181818181
3,mpnet,0.3436727272727272
3,mpnet,0.2793740909090909
3,sbert,0.5098296050670641
3,sbert,0.3425254545454545
3,sbert,0.4621761832611832
3,sbert,0.3540668181818181
3,sbert,0.36067136363636354
3,sroberta,0.4952904801536491
3,sroberta,0.367905
3,sroberta,0.47155222358722354
3,sroberta,0.35745181818181815
3,sroberta,0.322995
3,w2v_pretrained,0.5162873354231975
3,w2v_pretrained,0.4318140909090909
3,w2v_pretrained,0.4983688181818181
3,w2v_pretrained,0.3910245454545454
3,w2v_pretrained,0.41939181818181814
3,w2v_self,0.5077781818181817
3,w2v_self,0.49586409090909084
3,w2v_self,0.45680409090909085
4,bge,0.48995917553917556
4,bge,0.3989567676767677
4,bge,0.5340233647283648
4,bge,0.3914090909090909
4,bge,0.376620202020202
4,e5,0.49996756981580515
4,e5,0.4457785858585859
4,e5,0.528229647880676
4,e5,0.4421555555555556
4,e5,0.41188727272727277
4,fasttext_pretrained,0.5797948096348097
4,fasttext_pretrained,0.47219999999999995
4,fasttext_pretrained,0.5827727246145668
4,fasttext_pretrained,0.46111636363636366
4,fasttext_pretrained,0.46927535353535355
4,glove_pretrained,0.5643420855168224
4,glove_pretrained,0.4711727272727273
4,glove_pretrained,0.5533192784992785
4,glove_pretrained,0.4823028282828283
4,glove_pretrained,0.47611555555555557
4,gte,0.4896318835412953
4,gte,0.38081858585858586
4,gte,0.5171248096348097
4,gte,0.37631010101010104
4,gte,0.3691842424242424
4,instructor,0.6238129292929293
4,instructor,0.4177626262626263
4,instructor,0.5450703367003367
4,instructor,0.4018769696969697
4,instructor,0.4145163636363637
4,minilm,0.5218184627147974
4,minilm,0.409060202020202
4,minilm,0.5175331313131313
4,minilm,0.37975292929292925
4,minilm,0.40774444444444446
4,mpnet,0.4975590978753048
4,mpnet,0.40188868686868684
4,mpnet,0.5063365404040404
4,mpnet,0.3830458585858586
4,mpnet,0.3555307070707071
4,sbert,0.5628031448816524
4,sbert,0.4058975757575758
4,sbert,0.48974070707070705
4,sbert,0.39992848484848487
4,sbert,0.4205575757575758
4,sroberta,0.5312164932342291
4,sroberta,0.4098016161616162
4,sroberta,0.5325346173271173
4,sroberta,0.3942317171717172
4,sroberta,0.41547535353535353
4,w2v_pretrained,0.5752988191651023
4,w2v_pretrained,0.4540919191919192
4,w2v_pretrained,0.5573036102965135
4,w2v_pretrained,0.44948969696969693
4,w2v_pretrained,0.4472711111111111
4,w2v_self,0.5325581818181818
4,w2v_self,0.5202060606060606
4,w2v_self,0.5021715151515151
5,bge,0.5160995688012198
5,bge,0.4135236111111111
5,bge,0.5034620143745143
5,bge,0.4003864898989899
5,bge,0.41887979797979796
5,e5,0.5270709887334887
5,e5,0.45082285353535356
5,e5,0.5528071862239415
5,e5,0.4552766414141414
5,e5,0.44642613636363637
5,fasttext_pretrained,0.5981294823232323
5,fasttext_pretrained,0.48174848484848487
5,fasttext_pretrained,0.5461554110380917
5,fasttext_pretrained,0.47475959595959594
5,fasttext_pretrained,0.48334065656565656
5,glove_pretrained,0.5625375638250638
5,glove_pretrained,0.48677222222222216
5,glove_pretrained,0.5589309704184704
5,glove_pretrained,0.49001969696969694
5,glove_pretrained,0.4886397727272727
5,gte,0.4968796267126713
5,gte,0.4079864898989899
5,gte,0.5174076621477937
5,gte,0.3935780303030303
5,gte,0.4154074494949495
5,instructor,0.5829434246309246
5,instructor,0.43576767676767675
5,instructor,0.49633202861952863
5,instructor,0.43301035353535355
5,instructor,0.43937095959595956
5,minilm,0.5495178656565656
5,minilm,0.4241361111111111
5,minilm,0.528231300724003
5,minilm,0.40381969696969694
5,minilm,0.4358242424242424
5,mpnet,0.5633839293329069
5,mpnet,0.41830479797979797
5,mpnet,0.5364238865932047
5,mpnet,0.41188080808080807
5,mpnet,0.3988395202020202
5,sbert,0.574950836489899
5,sbert,0.4270891414141414
5,sbert,0.519602398989899
5,sbert,0.4155551767676767
5,sbert,0.45685214646464645
5,sroberta,0.5490378156565656
5,sroberta,0.4265787878787879
5,sroberta,0.5262146796916534
5,sroberta,0.4142007575757576
5,sroberta,0.4421643939393939
5,w2v_pretrained,0.5544168726741094
5,w2v_pretrained,0.46415441919191913
5,w2v_pretrained,0.5344666847041847
5,w2v_pretrained,0.4597877525252525
5,w2v_pretrained,0.46682638888888883
5,w2v_self,0.5320234848484848
5,w2v_self,0.5235521464646464
5,w2v_self,0.5179084595959595
6,bge,0.5334583092833092
6,bge,0.42195205627705623
6,bge,0.5079332773548291
6,bge,0.4045198051948051
6,bge,0.43761028138528135
6,e5,0.5202990363572466
6,e5,0.45686244588744584
6,e5,0.5239953463203463
6,e5,0.46814783549783545
6,e5,0.4597224025974025
6,fasttext_pretrained,0.6165001082251081
6,fasttext_pretrained,0.4855761904761904
6,fasttext_pretrained,0.5833509018759018
6,fasttext_pretrained,0.47846493506493504
6,fasttext_pretrained,0.49363549783549776
6,glove_pretrained,0.5343266716215511
6,glove_pretrained,0.48732954545454543
6,glove_pretrained,0.5616553463203463
6,glove_pretrained,0.49553755411255407
6,glove_pretrained,0.49609935064935057
6,gte,0.5397594559093873
6,gte,0.41390638528138524
6,gte,0.5302256493506493
6,gte,0.4055568181818181
6,gte,0.4289227272727272
6,instructor,0.57460487012987
6,instructor,0.4388588744588744
6,instructor,0.5512420995670995
6,instructor,0.44166158008658
6,instructor,0.45458463203463195
6,minilm,0.5096699640573493
6,minilm,0.4326619047619047
6,minilm,0.5411602995913743
6,minilm,0.4166014069264069
6,minilm,0.4622415584415584
6,mpnet,0.5571575536782059
6,mpnet,0.42655790043290037
6,mpnet,0.5494683192933192
6,mpnet,0.41916158008658
6,mpnet,0.421214935064935
6,sbert,0.5506005187341394
6,sbert,0.43761569264069256
6,sbert,0.509759632034632
6,sbert,0.4299120129870129
6,sbert,0.46928398268398264
6,sroberta,0.5895673463203462
6,sroberta,0.42790303030303023
6,sroberta,0.536064577089577
6,sroberta,0.4222896103896103
6,sroberta,0.45155173160173157
6,w2v_pretrained,0.5682596320346319
6,w2v_pretrained,0.4624795454545454
6,w2v_pretrained,0.5328953463203463
6,w2v_pretrained,0.4636580086580086
6,w2v_pretrained,0.47478874458874454
6,w2v_self,0.5320670995670995
6,w2v_self,0.5549264387573211
6,w2v_self,0.5318988095238095
6,w2v_self,0.5247398268398268
7,bge,0.5251608974358974
7,bge,0.43103800505050505
7,bge,0.5144346774193549
7,bge,0.41103055555555557
7,bge,0.45124810606060606
7,e5,0.5358070132013202
7,e5,0.46364469696969696
7,e5,0.5344116666666666
7,e5,0.46900744949494955
7,e5,0.4714710858585859
7,fasttext_pretrained,0.49051148989898985
7,fasttext_pretrained,0.5874059523809524
7,fasttext_pretrained,0.48234469696969695
7,fasttext_pretrained,0.5053523989898989
7,glove_pretrained,0.5671504901960784
7,glove_pretrained,0.4906679292929293
7,glove_pretrained,0.496252904040404
7,glove_pretrained,0.5033640151515152
7,gte,0.528654593495935
7,gte,0.4211752525252525
7,gte,0.5309916666666666
7,gte,0.4062737373737374
7,gte,0.44859924242424243
7,instructor,0.44488005050505053
7,instructor,0.5322966666666666
7,instructor,0.44540277777777776
7,instructor,0.46814330808080806
7,minilm,0.5360156666666667
7,minilm,0.44109722222222225
7,minilm,0.5330953703703704
7,minilm,0.42529090909090905
7,minilm,0.4690539141414142
7,mpnet,0.5763391666666666
7,mpnet,0.4353385101010101
7,mpnet,0.5716202380952381
7,mpnet,0.43492487373737376
7,mpnet,0.4433058080808081
7,sbert,0.5752761204481792
7,sbert,0.45064027777777776
7,sbert,0.5245916666666667
7,sbert,0.4409967171717172
7,sbert,0.4788604797979798
7,sroberta,0.5777749335989376
7,sroberta,0.43079040404040403
7,sroberta,0.40119166666666667
7,sroberta,0.4280782828282828
7,sroberta,0.45678737373737377
7,w2v_pretrained,0.541815251572327
7,w2v_pretrained,0.4661763888888889
7,w2v_pretrained,0.541045
7,w2v_pretrained,0.46465744949494947
7,w2v_pretrained,0.48213573232323237
7,w2v_self,0.5440090909090909
7,w2v_self,0.5599046130952381
7,w2v_self,0.528204797979798
7,w2v_self,0.5316757575757576
8,bge,0.43438424242424234
8,bge,0.4965258008658008
8,bge,0.4118715151515151
8,bge,0.4588539393939393
8,e5,0.553942251082251
8,e5,0.4715735353535353
8,e5,0.5315115151515151
8,e5,0.47156222222222216
8,e5,0.48227171717171713
8,fasttext_pretrained,0.49232464646464635
8,fasttext_pretrained,0.5876781818181818
8,fasttext_pretrained,0.48559535353535344
8,fasttext_pretrained,0.5086935353535353
8,glove_pretrained,0.5348715151515151
8,glove_pretrained,0.4920559595959595
8,glove_pretrained,0.49491414141414136
8,glove_pretrained,0.5064799999999999
8,gte,0.5356697373737374
8,gte,0.426040808080808
8,gte,0.5403881818181817
8,gte,0.41473434343434334
8,gte,0.46325393939393933
8,instructor,0.44838444444444436
8,instructor,0.49623651515151507
8,instructor,0.4477692929292929
8,instructor,0.48130101010101
8,minilm,0.5369524242424242
8,minilm,0.4431335353535353
8,minilm,0.4781829437229437
8,minilm,0.4362648484848484
8,minilm,0.47375717171717163
8,mpnet,0.5547294638694638
8,mpnet,0.43458686868686863
8,mpnet,0.4394343434343434
8,mpnet,0.44770909090909083
8,sbert,0.5185115151515151
8,sbert,0.45149898989898984
8,sbert,0.44655454545454537
8,sbert,0.461010505050505
8,sroberta,0.575915862977602
8,sroberta,0.4301535353535353
8,sroberta,0.5190115151515151
8,sroberta,0.4384559595959595
8,sroberta,0.4679957575757575
8,w2v_pretrained,0.5520170707070706
8,w2v_pretrained,0.4721036363636363
8,w2v_pretrained,0.46532020202020197
8,w2v_pretrained,0.4951068686868686
8,w2v_self,0.5495278787878787
8,w2v_self,0.562674673046252
8,w2v_self,0.5301721212121211
8,w2v_self,0.5319094949494949
9,bge,0.4404468181818182
9,bge,0.4266513636363637
9,bge,0.42332409090909096
9,bge,0.43215909090909094
9,e5,0.514104696969697
9,e5,0.47146136363636365
9,e5,0.4776854545454546
9,e5,0.4846286363636364
9,fasttext_pretrained,0.4971654545454546
9,fasttext_pretrained,0.4913431818181818
9,fasttext_pretrained,0.5073345454545455
9,glove_pretrained,0.5668140303030303
9,glove_pretrained,0.49931454545454546
9,glove_pretrained,0.5022877272727273
9,glove_pretrained,0.5146831818181818
9,gte,0.5573559090909092
9,gte,0.43391500000000005
9,gte,0.5484113636363637
9,gte,0.42581181818181824
9,gte,0.47349727272727277
9,instructor,0.45219818181818183
9,instructor,0.5429227922077923
9,instructor,0.45570636363636363
9,instructor,0.4904109090909091
9,minilm,0.5250913636363637
9,minilm,0.4499713636363637
9,minilm,0.4960180303030303
9,minilm,0.4470209090909091
9,minilm,0.4696545454545455
9,mpnet,0.5678171864211738
9,mpnet,0.4392604545454546
9,mpnet,0.4547836363636364
9,mpnet,0.4420631818181818
9,sbert,0.5783087406855439
9,sbert,0.45693090909090917
9,sbert,0.45038363636363643
9,sbert,0.4672781818181818
9,sroberta,0.5383113636363637
9,sroberta,0.43326909090909094
9,sroberta,0.44359545454545457
9,sroberta,0.4624277272727273
9,w2v_pretrained,0.5707102922077922
9,w2v_pretrained,0.47679227272727276
9,w2v_pretrained,0.4669368181818182
9,w2v_pretrained,0.5037272727272728
9,w2v_self,0.5465345454545455
9,w2v_self,0.5893513636363636
9,w2v_self,0.5310263636363637
9,w2v_self,0.5288768181818182
10,bge,0.4352969696969696
10,bge,0.4257499999999999
10,bge,0.42733030303030295
10,e5,0.5717597356544164
10,e5,0.4647363636363635
10,e5,0.46428333333333327
10,e5,0.4789030303030302
10,fasttext_pretrained,0.4936030303030302
10,fasttext_pretrained,0.48749242424242417
10,fasttext_pretrained,0.505390909090909
10,glove_pretrained,0.5856830808080807
10,glove_pretrained,0.4994833333333332
10,glove_pretrained,0.4989924242424242
10,glove_pretrained,0.5063848484848484
10,gte,0.5069869696969697
10,gte,0.43563636363636354
10,gte,0.42589545454545447
10,gte,0.44861666666666655
10,instructor,0.4490136363636363
10,instructor,0.446660606060606
10,instructor,0.47623636363636357
10,minilm,0.44853636363636357
10,minilm,0.5049469696969696
10,minilm,0.4440348484848484
10,minilm,0.46122727272727265
10,mpnet,0.5569577805077804
10,mpnet,0.4419787878787878
10,mpnet,0.4513348484848484
10,mpnet,0.4561651515151514
10,sbert,0.4570196969696969
10,sbert,0.4485545454545454
10,sbert,0.4716727272727272
10,sroberta,0.43652727272727265
10,sroberta,0.4423348484848484
10,sroberta,0.4548696969696969
10,w2v_pretrained,0.5582738927738927
10,w2v_pretrained,0.47854696969696964
10,w2v_pretrained,0.46564090909090905
10,w2v_pretrained,0.49988333333333324
10,w2v_self,0.5406681818181818
10,w2v_self,0.5187893939393938
10,w2v_self,0.522730303030303
11,bge,0.42325
11,bge,0.4227833333333333
11,bge,0.4426083333333333
11,e5,0.5661666666666667
11,e5,0.4583583333333333
11,e5,0.5494666666666667
11,e5,0.46177500000000005
11,e5,0.5020416666666667
11,fasttext_pretrained,0.496875
11,fasttext_pretrained,0.49311666666666665
11,fasttext_pretrained,0.502975
11,glove_pretrained,0.5022583333333334
11,glove_pretrained,0.5001916666666667
11,glove_pretrained,0.5029333333333333
11,gte,0.5379333333333334
11,gte,0.4492583333333333
11,gte,0.4369166666666666
11,gte,0.442125
11,instructor,0.4540333333333333
11,instructor,0.44945
11,instructor,0.46753333333333336
11,minilm,0.4595166666666667
11,minilm,0.43198333333333333
11,minilm,0.4654666666666667
11,mpnet,0.4424666666666667
11,mpnet,0.44929166666666664
11,mpnet,0.4441583333333333
11,sbert,0.46505833333333335
11,sbert,0.44999999999999996
11,sbert,0.481925
11,sroberta,0.44337499999999996
11,sroberta,0.4483083333333333
11,sroberta,0.44443333333333335
11,w2v_pretrained,0.47468333333333335
11,w2v_pretrained,0.4725666666666667
11,w2v_pretrained,0.49571666666666664
11,w2v_self,0.53565
11,w2v_self,0.5257333333333334
11,w2v_self,0.529575
12,bge,0.41400000000000003
12,bge,0.40920000000000006
12,bge,0.42150000000000004
12,e5,0.5429
12,e5,0.46220000000000006
12,e5,0.5374000000000001
