k,method,rank,mean_f1
2,logistic_regression,1,0.8268772727272727
2,mpnet,2,0.7074787878787878
2,gte,3,0.6988742424242425
2,sroberta,4,0.6700984848484849
2,e5,5,0.6594121212121212
2,bge,6,0.653519696969697
2,gte,7,0.6531166666666667
2,minilm,8,0.6526878787878787
2,minilm,9,0.6491848484848486
2,instructor,10,0.6462
2,minilm,11,0.6410242424242424
2,mpnet,12,0.6394287878787879
2,instructor,13,0.6309242424242424
2,mpnet,14,0.6294090909090908
2,sroberta,15,0.6285227272727273
2,sbert,16,0.6264575757575758
2,bge,17,0.6211939393939394
2,sbert,18,0.6186606060606061
2,sroberta,19,0.6142287878787879
2,bge,20,0.6122166666666667
2,sbert,21,0.6117090909090909
2,instructor,22,0.6079242424242424
2,gte,23,0.5998393939393939
2,w2v_pretrained,24,0.5633303030303031
2,mpnet,25,0.5432727272727272
2,w2v_pretrained,26,0.5367075757575758
2,e5,27,0.5348742424242424
2,glove_pretrained,28,0.5256590909090909
2,w2v_pretrained,29,0.5248393939393939
2,e5,30,0.5199909090909092
2,gte,31,0.5168934782608696
2,glove_pretrained,32,0.5160954545454546
2,fasttext_pretrained,33,0.5128818181818182
2,e5,34,0.5088295454545455
2,bge,35,0.5082276595744681
2,glove_pretrained,36,0.5050530303030303
2,mpnet,37,0.504377358490566
2,minilm,38,0.5005342105263157
2,fasttext_pretrained,39,0.4971757575757576
2,fasttext_pretrained,40,0.49377121212121217
2,sbert,41,0.4914245283018868
2,instructor,42,0.49112777777777783
2,sroberta,43,0.4832404255319149
2,instructor,44,0.47957272727272726
2,w2v_self,45,0.47955909090909093
2,w2v_pretrained,46,0.4768111111111111
2,bge,47,0.4729804347826087
2,minilm,48,0.46401521739130436
2,glove_pretrained,49,0.44510250000000007
2,sroberta,50,0.4375056603773585
2,sbert,51,0.4360136363636364
2,w2v_self,52,0.4233055555555556
2,fasttext_pretrained,53,0.4146711111111111
2,w2v_self,54,0.4142590909090909
2,glove_pretrained,55,0.41255749999999997
2,fasttext_pretrained,56,0.409802380952381
2,w2v_self,57,0.40150606060606064
2,w2v_pretrained,58,0.39183636363636365
2,gte,59,0.37933809523809525
2,e5,60,0.3517137931034483
3,logistic_regression,1,0.7655968181818181
3,mpnet,2,0.48622272727272725
3,gte,3,0.4769986363636364
3,bge,4,0.46327454545454544
3,instructor,5,0.4436772727272727
3,sroberta,6,0.44260181818181815
3,gte,7,0.43785500000000005
3,e5,8,0.4372331818181818
3,minilm,9,0.4277590909090909
3,instructor,10,0.42638227272727275
3,minilm,11,0.4262286363636364
3,gte,12,0.4232009090909091
3,sbert,13,0.4230713636363636
3,mpnet,14,0.42192409090909094
3,bge,15,0.41232545454545455
