embedding,clustering,k,mean,std
bge,dbscan,2,0.4729804347826087,0.2520739447239552
bge,dbscan,3,0.30852307692307696,0.14857075704912406
bge,dbscan,4,0.22936486486486485,0.08531885791391557
bge,dbscan,5,0.16620283018867923,0.036811373650123186
bge,dbscan,6,0.12073703703703703,0.031668520744574505
bge,dbscan,7,0.10943076923076923,0.020749312623770805
bge,hac,2,0.6122166666666667,0.2665022162317046
bge,hac,3,0.3928636363636364,0.20116775081620714
bge,hac,4,0.3203672727272727,0.15275960732867463
bge,hac,5,0.2687787878787879,0.12632647579795042
bge,hac,6,0.23224329004329006,0.10544484794002286
bge,hac,7,0.2035536616161616,0.08940448129754222
bge,hac,8,0.18572727272727274,0.07517259953121029
bge,hac,9,0.17090454545454545,0.05971941377032252
bge,hac,10,0.16245,0.04423481486514719
bge,hac,11,0.16951666666666668,0.031790159521843275
bge,hac,12,0.1591,
bge,hdbscan,2,0.5082276595744681,0.16895810479180365
bge,hdbscan,3,0.38041785714285714,0.17478379248018566
bge,hdbscan,4,0.18530067567567565,0.0831467177115671
bge,hdbscan,5,0.1788403846153846,0.09104889283304703
bge,hdbscan,6,0.14626206896551724,0.06188322130747993
bge,hdbscan,7,0.12015698924731183,0.05109207885055787
bge,hdbscan,8,0.12358571428571428,0.0487037963635257
bge,hdbscan,9,0.1847,
bge,kmeans,2,0.6211939393939394,0.2548358354698707
bge,kmeans,3,0.41232545454545455,0.20569433919189778
bge,kmeans,4,0.32791494949494954,0.1565145190544495
bge,kmeans,5,0.2819159090909091,0.12296060359868122
bge,kmeans,6,0.24967554112554113,0.10093578162458655
bge,kmeans,7,0.2235611111111111,0.07931499510064732
bge,kmeans,8,0.20824,0.06458443314025894
bge,kmeans,9,0.18802727272727274,0.05319014896450208
bge,kmeans,10,0.1719969696969697,0.045070703326754266
bge,kmeans,11,0.16998333333333335,0.026572228610587653
bge,kmeans,12,0.1639,
bge,spectral,2,0.653519696969697,0.2856931755032618
bge,spectral,3,0.46327454545454544,0.2469825765900539
bge,spectral,4,0.3427038383838384,0.20034135011071555
bge,spectral,5,0.263422601010101,0.16921939538440287
bge,spectral,6,0.2165850649350649,0.13978690032157007
bge,spectral,7,0.1833435606060606,0.11675579085988051
bge,spectral,8,0.16125757575757577,0.10074872106250574
bge,spectral,9,0.17919227272727273,0.06796749951443642
bge,spectral,10,0.17041666666666666,0.05566555510943035
bge,spectral,11,0.15015833333333334,0.03769032811389858
bge,spectral,12,0.1516,
e5,dbscan,2,0.3517137931034483,0.16408583277431776
e5,dbscan,3,0.23124999999999998,0.0861890742214552
e5,dbscan,4,0.2193564705882353,0.07687726682226434
e5,dbscan,5,0.15523141025641027,0.05423986369343322
e5,dbscan,6,0.13389630996309962,0.04670287548883676
e5,dbscan,7,0.09878465346534653,0.0342909903905382
e5,dbscan,8,0.06616926406926407,0.04633748842787962
e5,dbscan,9,0.09724666666666668,0.0444263259428642
e5,dbscan,10,0.02598723404255319,0.026331223134301626
e5,dbscan,11,0.0266,
e5,dbscan,12,0.0302,
e5,hac,2,0.5199909090909092,0.23302775980376425
e5,hac,3,0.34837318181818183,0.15147899400422818
e5,hac,4,0.27354545454545454,0.11422934568460003
e5,hac,5,0.23147954545454544,0.0977816606467303
e5,hac,6,0.19733290043290044,0.08358772401164064
e5,hac,7,0.1709469696969697,0.07096678816468457
e5,hac,8,0.1485379797979798,0.05960200839583681
e5,hac,9,0.13989000000000001,0.05022847515996258
e5,hac,10,0.13301060606060608,0.04384112270034881
e5,hac,11,0.13440833333333332,0.03492283593434201
e5,hac,12,0.1109,
e5,hdbscan,2,0.5088295454545455,0.15620215223414588
e5,hdbscan,3,0.2778408163265306,0.10110964947019842
e5,hdbscan,4,0.19109439252336446,0.09757737600428805
e5,hdbscan,5,0.12949521276595743,0.06083489120278776
e5,hdbscan,6,0.1302,0.044665926610784654
e5,hdbscan,7,0.10018,0.03557351699103015
e5,hdbscan,8,0.08860000000000001,0.02579844956581694
e5,hdbscan,11,0.0433,
e5,hdbscan,12,0.0357,
e5,kmeans,2,0.5348742424242424,0.25280254764454235
e5,kmeans,3,0.3724713636363637,0.15610469425647733
e5,kmeans,4,0.27716848484848483,0.12003534776592568
e5,kmeans,5,0.22702575757575755,0.09455308647796773
e5,kmeans,6,0.18604751082251084,0.08081020046177771
e5,kmeans,7,0.16558421717171715,0.06449856683317118
e5,kmeans,8,0.14854929292929292,0.05319637778855742
e5,kmeans,9,0.13366590909090909,0.04727819708133024
e5,kmeans,10,0.13346363636363637,0.030138524471889094
e5,kmeans,11,0.13099166666666665,0.026553015864777988
e5,kmeans,12,0.118,
e5,spectral,2,0.6594121212121212,0.25158829954153367
e5,spectral,3,0.4372331818181818,0.2113654593047078
e5,spectral,4,0.30743676767676764,0.16250592471808004
e5,spectral,5,0.23587626262626263,0.13148066906766032
e5,spectral,6,0.19447294372294374,0.10910208298165111
e5,spectral,7,0.16312058080808078,0.08993309280491486
e5,spectral,8,0.13783979797979798,0.07648261010015535
e5,spectral,9,0.1267227272727273,0.060296036292015256
e5,spectral,10,0.11884393939393939,0.04996128694772778
e5,spectral,11,0.090725,0.026828991273010482
e5,spectral,12,0.1213,
fasttext_pretrained,dbscan,2,0.4146711111111111,0.17049272128188056
fasttext_pretrained,dbscan,3,0.19463194444444445,0.10504586500149525
fasttext_pretrained,dbscan,4,0.13952923076923077,0.09781988346426067
fasttext_pretrained,dbscan,5,0.08417291666666667,0.08211122384104233
fasttext_pretrained,dbscan,6,0.037695238095238094,0.011864926303626
fasttext_pretrained,hac,2,0.49377121212121217,0.23796232847636362
fasttext_pretrained,hac,3,0.31232000000000004,0.15991974688237337
fasttext_pretrained,hac,4,0.24712404040404043,0.11338894532939862
fasttext_pretrained,hac,5,0.20055391414141413,0.09085989762286856
fasttext_pretrained,hac,6,0.16861915584415585,0.07357570765714581
fasttext_pretrained,hac,7,0.1440801767676768,0.05660051594757143
fasttext_pretrained,hac,8,0.1277868686868687,0.04363855788293372
fasttext_pretrained,hac,9,0.11418590909090909,0.0338197252916768
fasttext_pretrained,hac,10,0.1041439393939394,0.028352794618942995
fasttext_pretrained,hac,11,0.09589166666666667,0.015650759977674827
fasttext_pretrained,hac,12,0.0586,
fasttext_pretrained,hdbscan,2,0.409802380952381,0.16083745087494053
fasttext_pretrained,hdbscan,3,0.19279166666666667,0.07289282298592326
fasttext_pretrained,hdbscan,4,0.1365513157894737,0.057883010565834565
fasttext_pretrained,hdbscan,5,0.13614698795180724,0.02480241597864818
fasttext_pretrained,hdbscan,6,0.07084444444444445,0.02585860244215526
fasttext_pretrained,hdbscan,7,0.04718571428571429,0.01198797016059969
fasttext_pretrained,hdbscan,8,0.032433333333333335,0.002902297940138697
fasttext_pretrained,kmeans,2,0.4971757575757576,0.21486054300807525
fasttext_pretrained,kmeans,3,0.3336259090909091,0.14445358993562082
fasttext_pretrained,kmeans,4,0.25820767676767675,0.10509944886379886
fasttext_pretrained,kmeans,5,0.207542803030303,0.0862105721748331
fasttext_pretrained,kmeans,6,0.17573041125541125,0.06699779847488081
fasttext_pretrained,kmeans,7,0.1522469696969697,0.053545150586789055
fasttext_pretrained,kmeans,8,0.13451616161616162,0.038712310931093334
fasttext_pretrained,kmeans,9,0.12000818181818182,0.030820011087556578
fasttext_pretrained,kmeans,10,0.11025454545454545,0.0234551629994053
fasttext_pretrained,kmeans,11,0.09965,0.013190940417229895
fasttext_pretrained,kmeans,12,0.0924,
fasttext_pretrained,spectral,2,0.5128818181818182,0.2926213152281873
fasttext_pretrained,spectral,3,0.3419990909090909,0.19414134708395217
fasttext_pretrained,spectral,4,0.25004868686868686,0.13897168395245083
fasttext_pretrained,spectral,5,0.19896174242424242,0.11458385096134643
fasttext_pretrained,spectral,6,0.1605598484848485,0.10040919972472384
