method,slope,r2
bge,-0.1815333333333333,0.7592588576286717
e5,-0.14900000000000005,0.9045914777859905
fasttext_pretrained,-0.09111666666666668,0.2116693335709885
glove_pretrained,-0.029100000000000004,0.02415771391497823
gte,-0.16338888888888892,0.5770134233009897
instructor,-0.08851999999999996,0.0950091403454476
logistic_regression,-0.1209333333333333,1.0
minilm,-0.10553833333333333,0.4025623221490371
mpnet,-0.07975333333333331,0.08559121129151814
sbert,-0.18454166666666666,0.7610772372094874
sroberta,-0.07041333333333331,0.06417951144992062
w2v_pretrained,-0.08064166666666668,0.07346372578813476
w2v_self,0.07062666666666668,0.08410737516335653
