k,unsupervised_method,gap
2,bge,0.19130000000000003
2,bge,0.3022
2,bge,0.2977
2,bge,0.2992
2,bge,0.2973
2,e5,0.525
2,e5,0.2863
2,e5,0.26380000000000003
2,e5,0.279
2,e5,0.3174
2,fasttext_pretrained,0.264
2,fasttext_pretrained,0.2676
2,fasttext_pretrained,0.2816
2,fasttext_pretrained,0.3139
2,fasttext_pretrained,0.3478
2,glove_pretrained,0.3069
2,glove_pretrained,0.2957
2,glove_pretrained,0.3073
2,glove_pretrained,0.3197
2,gte,0.2915
2,gte,0.1794
2,gte,0.2984
2,gte,0.2945
2,instructor,0.33190000000000003
2,instructor,0.2953
2,instructor,0.4776
2,instructor,0.2894
2,instructor,0.28750000000000003
2,minilm,0.2932
2,minilm,0.2958
2,minilm,0.3021
2,mpnet,0.525
2,mpnet,0.2768
2,mpnet,0.19240000000000002
2,mpnet,0.2723
2,mpnet,0.2949
2,sbert,0.3119
2,sbert,0.20650000000000002
2,sbert,0.2786
2,sbert,0.2928
2,sroberta,0.525
2,sroberta,0.28600000000000003
2,sroberta,0.4117
2,sroberta,0.2896
2,sroberta,0.2953
2,w2v_pretrained,0.2883
2,w2v_pretrained,0.2751
2,w2v_pretrained,0.3055
2,w2v_pretrained,0.3437
2,w2v_self,0.35960000000000003
2,w2v_self,0.2358
2,w2v_self,0.3738
2,w2v_self,0.5327
