k,method,rank,mean_f1
2,logistic_regression,1,0.758
2,gte,2,0.5786
2,bge,3,0.5667
2,mpnet,4,0.5656
2,sbert,5,0.5515
2,w2v_self,6,0.5222
2,e5,7,0.4942
2,fasttext_pretrained,8,0.494
2,fasttext_pretrained,9,0.4904
2,mpnet,10,0.4857
2,w2v_pretrained,11,0.4829
2,mpnet,12,0.4812
2,sbert,13,0.4794
2,e5,14,0.479
2,fasttext_pretrained,15,0.4764
2,sroberta,16,0.472
2,e5,17,0.4717
2,instructor,18,0.4705
2,w2v_pretrained,19,0.4697
2,instructor,20,0.4686
2,sroberta,21,0.4684
2,gte,22,0.4665
2,sbert,23,0.4652
2,minilm,24,0.4648
2,gte,25,0.4635
2,mpnet,26,0.4631
2,instructor,27,0.4627
2,sroberta,28,0.4627
2,glove_pretrained,29,0.4623
2,minilm,30,0.4622
2,bge,31,0.4607
2,bge,32,0.4603
2,gte,33,0.4596
2,bge,34,0.4588
2,minilm,35,0.4559
2,bge,36,0.4558
2,w2v_pretrained,37,0.4525
2,glove_pretrained,38,0.4511
2,glove_pretrained,39,0.4507
2,sbert,40,0.4461
2,fasttext_pretrained,41,0.4441
2,e5,42,0.4406
2,glove_pretrained,43,0.4383
2,instructor,44,0.4261
2,w2v_pretrained,45,0.4143
2,fasttext_pretrained,46,0.4102
2,w2v_self,47,0.3984
2,w2v_self,48,0.3842
2,sroberta,49,0.3463
2,instructor,50,0.2804
2,e5,51,0.233
2,mpnet,52,0.233
2,sroberta,53,0.233
2,w2v_self,54,0.2253
