embedding,clustering,k,mean,std
bge,dbscan,2,0.5667,
bge,hac,2,0.4558,
bge,hdbscan,2,0.4603,
bge,kmeans,2,0.4588,
bge,spectral,2,0.4607,
e5,dbscan,2,0.233,
e5,hac,2,0.4717,
e5,hdbscan,2,0.4942,
e5,kmeans,2,0.479,
e5,spectral,2,0.4406,
fasttext_pretrained,dbscan,2,0.494,
fasttext_pretrained,hac,2,0.4904,
fasttext_pretrained,hdbscan,2,0.4764,
fasttext_pretrained,kmeans,2,0.4441,
fasttext_pretrained,spectral,2,0.4102,
glove_pretrained,hac,2,0.4511,
glove_pretrained,hdbscan,2,0.4623,
glove_pretrained,kmeans,2,0.4507,
glove_pretrained,spectral,2,0.4383,
gte,hac,2,0.4665,
gte,hdbscan,2,0.5786,
gte,kmeans,2,0.4596,
gte,spectral,2,0.4635,
instructor,dbscan,2,0.4261,
instructor,hac,2,0.4627,
instructor,hdbscan,2,0.2804,
instructor,kmeans,2,0.4686,
instructor,spectral,2,0.4705,
logistic_regression,supervised,2,0.758,
minilm,hac,2,0.4648,
minilm,kmeans,2,0.4622,
minilm,spectral,2,0.4559,
mpnet,dbscan,2,0.233,
mpnet,hac,2,0.4812,
mpnet,hdbscan,2,0.5656,
mpnet,kmeans,2,0.4857,
mpnet,spectral,2,0.4631,
sbert,hac,2,0.4461,
sbert,hdbscan,2,0.5515,
sbert,kmeans,2,0.4794,
sbert,spectral,2,0.4652,
sroberta,dbscan,2,0.233,
sroberta,hac,2,0.472,
sroberta,hdbscan,2,0.3463,
sroberta,kmeans,2,0.4684,
sroberta,spectral,2,0.4627,
w2v_pretrained,hac,2,0.4697,
w2v_pretrained,hdbscan,2,0.4829,
w2v_pretrained,kmeans,2,0.4525,
w2v_pretrained,spectral,2,0.4143,
w2v_self,hac,2,0.3984,
w2v_self,hdbscan,2,0.5222,
w2v_self,kmeans,2,0.3842,
w2v_self,spectral,2,0.2253,
