k,unsupervised_method,gap
2,bge,0.2702000000000001
2,bge,0.24080000000000001
2,bge,0.29710000000000003
2,bge,0.26250000000000007
2,e5,0.2521000000000001
2,e5,0.2583000000000001
2,e5,0.24940000000000007
2,e5,0.2834000000000001
2,e5,0.25850000000000006
2,fasttext_pretrained,0.5973
2,fasttext_pretrained,0.44140000000000007
2,fasttext_pretrained,0.603
2,fasttext_pretrained,0.5873
2,glove_pretrained,0.6026
2,glove_pretrained,0.28970000000000007
2,glove_pretrained,0.26160000000000005
2,gte,0.257
2,gte,0.2604000000000001
2,gte,0.2714000000000001
2,gte,0.2892
2,gte,0.25470000000000004
2,instructor,0.2642000000000001
2,instructor,0.27370000000000005
2,instructor,0.27380000000000004
2,instructor,0.25660000000000005
2,minilm,0.2661
2,minilm,0.5115000000000001
2,minilm,0.27390000000000003
2,minilm,0.25660000000000005
2,mpnet,0.25660000000000005
2,mpnet,0.3012
2,mpnet,0.27180000000000004
2,mpnet,0.25270000000000004
2,sbert,0.44920000000000004
2,sbert,0.2834000000000001
2,sbert,0.468
2,sbert,0.2874000000000001
2,sbert,0.2683000000000001
2,sroberta,0.4887000000000001
2,sroberta,0.27760000000000007
2,sroberta,0.28270000000000006
2,sroberta,0.27380000000000004
2,sroberta,0.25470000000000004
2,w2v_pretrained,0.49540000000000006
2,w2v_pretrained,0.5785
2,w2v_pretrained,0.44530000000000003
2,w2v_pretrained,0.5916000000000001
2,w2v_pretrained,0.5883
2,w2v_self,0.26670000000000005
2,w2v_self,0.26650000000000007
2,w2v_self,0.6111
