k,method,rank,mean_f1
2,logistic_regression,1,0.8735
2,bge,2,0.6327
2,e5,3,0.6241
2,e5,4,0.6214
2,mpnet,5,0.6208
2,gte,6,0.6188
2,sroberta,7,0.6188
2,minilm,8,0.6169
2,mpnet,9,0.6169
2,instructor,10,0.6169
2,gte,11,0.6165
2,e5,12,0.6152
2,e5,13,0.615
2,gte,14,0.6131
2,glove_pretrained,15,0.6119
2,bge,16,0.611
2,instructor,17,0.6093
2,minilm,18,0.6074
2,w2v_self,19,0.607
2,w2v_self,20,0.6068
2,sbert,21,0.6052
2,bge,22,0.6033
2,gte,23,0.6021
2,mpnet,24,0.6017
2,instructor,25,0.5998
2,instructor,26,0.5997
2,sroberta,27,0.5997
2,minilm,28,0.5996
2,sroberta,29,0.5959
2,sroberta,30,0.5908
2,e5,31,0.5901
2,sbert,32,0.5901
2,sbert,33,0.5861
2,gte,34,0.5843
2,glove_pretrained,35,0.5838
2,bge,36,0.5764
2,mpnet,37,0.5723
2,fasttext_pretrained,38,0.4321
2,w2v_pretrained,39,0.4282
2,sbert,40,0.4243
2,sbert,41,0.4055
2,sroberta,42,0.3848
2,w2v_pretrained,43,0.3781
2,minilm,44,0.362
2,w2v_pretrained,45,0.295
2,fasttext_pretrained,46,0.2862
2,w2v_pretrained,47,0.2852
2,w2v_pretrained,48,0.2819
2,fasttext_pretrained,49,0.2762
2,glove_pretrained,50,0.2709
2,fasttext_pretrained,51,0.2705
2,w2v_self,52,0.2624
