embedding,clustering,k,mean,std
bge,hac,2,0.6033,
bge,hdbscan,2,0.6327,
bge,kmeans,2,0.5764,
bge,spectral,2,0.611,
e5,dbscan,2,0.6214,
e5,hac,2,0.6152,
e5,hdbscan,2,0.6241,
e5,kmeans,2,0.5901,
e5,spectral,2,0.615,
fasttext_pretrained,hac,2,0.2762,
fasttext_pretrained,hdbscan,2,0.4321,
fasttext_pretrained,kmeans,2,0.2705,
fasttext_pretrained,spectral,2,0.2862,
glove_pretrained,hac,2,0.2709,
glove_pretrained,kmeans,2,0.5838,
glove_pretrained,spectral,2,0.6119,
gte,dbscan,2,0.6165,
gte,hac,2,0.6131,
gte,hdbscan,2,0.6021,
gte,kmeans,2,0.5843,
gte,spectral,2,0.6188,
instructor,hac,2,0.6093,
instructor,hdbscan,2,0.5998,
instructor,kmeans,2,0.5997,
instructor,spectral,2,0.6169,
logistic_regression,supervised,2,0.8735,
minilm,hac,2,0.6074,
minilm,hdbscan,2,0.362,
minilm,kmeans,2,0.5996,
minilm,spectral,2,0.6169,
mpnet,hac,2,0.6169,
mpnet,hdbscan,2,0.5723,
mpnet,kmeans,2,0.6017,
mpnet,spectral,2,0.6208,
sbert,dbscan,2,0.4243,
sbert,hac,2,0.5901,
sbert,hdbscan,2,0.4055,
sbert,kmeans,2,0.5861,
sbert,spectral,2,0.6052,
sroberta,dbscan,2,0.3848,
sroberta,hac,2,0.5959,
sroberta,hdbscan,2,0.5908,
sroberta,kmeans,2,0.5997,
sroberta,spectral,2,0.6188,
w2v_pretrained,dbscan,2,0.3781,
w2v_pretrained,hac,2,0.295,
w2v_pretrained,hdbscan,2,0.4282,
w2v_pretrained,kmeans,2,0.2819,
w2v_pretrained,spectral,2,0.2852,
w2v_self,hac,2,0.6068,
w2v_self,kmeans,2,0.607,
w2v_self,spectral,2,0.2624,
