k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[0, 1]",logistic_regression,supervised,0.863,0.8663,0.8639,
2,"[0, 2]",logistic_regression,supervised,0.8277,0.8256,0.8242,
2,"[0, 3]",logistic_regression,supervised,0.8067,0.8195,0.8104,
2,"[0, 4]",logistic_regression,supervised,0.879,0.8775,0.8776,
2,"[1, 2]",logistic_regression,supervised,0.8175,0.8092,0.8113,
2,"[1, 3]",logistic_regression,supervised,0.7462,0.7487,0.7455,
2,"[1, 4]",logistic_regression,supervised,0.8564,0.8526,0.854,
2,"[2, 3]",logistic_regression,supervised,0.6409,0.6429,0.6415,
2,"[2, 4]",logistic_regression,supervised,0.8443,0.8447,0.8444,
2,"[3, 4]",logistic_regression,supervised,0.7701,0.774,0.7719,
3,"[0, 1, 2]",logistic_regression,supervised,0.7586,0.753,0.7543,
3,"[0, 1, 3]",logistic_regression,supervised,0.7172,0.7167,0.7143,
3,"[0, 1, 4]",logistic_regression,supervised,0.8065,0.8064,0.806,
3,"[0, 2, 3]",logistic_regression,supervised,0.6295,0.6276,0.6276,
3,"[0, 2, 4]",logistic_regression,supervised,0.7742,0.7748,0.7742,
3,"[0, 3, 4]",logistic_regression,supervised,0.7253,0.7298,0.7263,
3,"[1, 2, 3]",logistic_regression,supervised,0.6069,0.6067,0.6066,
3,"[1, 2, 4]",logistic_regression,supervised,0.765,0.7609,0.7623,
3,"[1, 3, 4]",logistic_regression,supervised,0.7064,0.7075,0.7065,
3,"[2, 3, 4]",logistic_regression,supervised,0.637,0.6374,0.6368,
4,"[0, 1, 2, 3]",logistic_regression,supervised,0.611,0.6101,0.6101,
4,"[0, 1, 2, 4]",logistic_regression,supervised,0.7297,0.7275,0.7282,
4,"[0, 1, 3, 4]",logistic_regression,supervised,0.6937,0.6947,0.6932,
4,"[0, 2, 3, 4]",logistic_regression,supervised,0.6068,0.6072,0.6061,
4,"[1, 2, 3, 4]",logistic_regression,supervised,0.6172,0.6127,0.6141,
5,"[0, 1, 2, 3, 4]",logistic_regression,supervised,0.6134,0.6109,0.6113,
