k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[0, 1]",sbert,kmeans,0.8939,0.8844,0.8881,
2,"[0, 1]",sbert,hac,0.865,0.8401,0.8469,
2,"[0, 1]",sbert,spectral,0.786,0.7918,0.7847,
2,"[0, 1]",sbert,hdbscan,0.7861,0.5032,0.3703,
2,"[0, 2]",sbert,kmeans,0.7554,0.7555,0.7554,
2,"[0, 2]",sbert,hac,0.7621,0.7596,0.7577,
2,"[0, 2]",sbert,spectral,0.713,0.712,0.7122,
2,"[0, 2]",sbert,hdbscan,0.7589,0.5084,0.3577,
2,"[0, 3]",sbert,kmeans,0.7631,0.7791,0.7591,
2,"[0, 3]",sbert,hac,0.7645,0.7755,0.7429,
2,"[0, 3]",sbert,spectral,0.5684,0.5518,0.5446,
2,"[0, 3]",sbert,hdbscan,0.3826,0.4903,0.3843,
2,"[0, 4]",sbert,kmeans,0.8694,0.8805,0.8707,
2,"[0, 4]",sbert,hac,0.8139,0.8183,0.797,
2,"[0, 4]",sbert,spectral,0.8467,0.8575,0.8436,
2,"[0, 4]",sbert,hdbscan,0.422,0.478,0.3931,
2,"[1, 2]",sbert,kmeans,0.8308,0.8234,0.8259,
2,"[1, 2]",sbert,hac,0.841,0.7723,0.7766,
2,"[1, 2]",sbert,spectral,0.8083,0.8035,0.8053,
2,"[1, 2]",sbert,dbscan,0.6462,0.5072,0.3263,
2,"[1, 2]",sbert,hdbscan,0.5511,0.5479,0.5458,
2,"[1, 3]",sbert,kmeans,0.7925,0.7805,0.7652,
2,"[1, 3]",sbert,hac,0.7472,0.6881,0.647,
2,"[1, 3]",sbert,spectral,0.7533,0.748,0.7495,
2,"[1, 3]",sbert,hdbscan,0.5627,0.5061,0.3837,
2,"[1, 4]",sbert,kmeans,0.8266,0.8544,0.8333,
2,"[1, 4]",sbert,hac,0.7098,0.7318,0.7056,
2,"[1, 4]",sbert,spectral,0.8842,0.8098,0.8317,
2,"[1, 4]",sbert,dbscan,0.6744,0.5371,0.337,
2,"[1, 4]",sbert,hdbscan,0.6354,0.5765,0.5672,
2,"[2, 3]",sbert,kmeans,0.4983,0.4982,0.4956,
2,"[2, 3]",sbert,hac,0.5008,0.5008,0.4997,
2,"[2, 3]",sbert,spectral,0.5213,0.5222,0.5126,
2,"[2, 3]",sbert,dbscan,0.4025,0.4959,0.3801,
2,"[2, 3]",sbert,hdbscan,0.4221,0.4857,0.3922,
2,"[2, 4]",sbert,kmeans,0.7952,0.807,0.7886,
2,"[2, 4]",sbert,hac,0.7684,0.7723,0.7447,
2,"[2, 4]",sbert,spectral,0.7737,0.761,0.7656,
2,"[2, 4]",sbert,dbscan,0.7092,0.5381,0.3659,
2,"[2, 4]",sbert,hdbscan,0.5861,0.5862,0.5861,
2,"[3, 4]",sbert,kmeans,0.6799,0.7112,0.679,
2,"[3, 4]",sbert,hac,0.681,0.7077,0.6848,
2,"[3, 4]",sbert,spectral,0.6627,0.6697,0.6657,
2,"[3, 4]",sbert,dbscan,0.6508,0.5017,0.2351,
2,"[3, 4]",sbert,hdbscan,0.5928,0.553,0.5459,
3,"[0, 1, 2]",sbert,kmeans,0.7304,0.7218,0.7252,
3,"[0, 1, 2]",sbert,hac,0.7231,0.6396,0.6484,
3,"[0, 1, 2]",sbert,spectral,0.4587,0.374,0.3136,
3,"[0, 1, 3]",sbert,kmeans,0.6875,0.6876,0.6829,
3,"[0, 1, 3]",sbert,hac,0.6989,0.662,0.6531,
3,"[0, 1, 3]",sbert,spectral,0.2802,0.3277,0.2613,
3,"[0, 1, 4]",sbert,kmeans,0.7815,0.787,0.7762,
3,"[0, 1, 4]",sbert,hac,0.738,0.7155,0.7111,
3,"[0, 1, 4]",sbert,spectral,0.7022,0.7075,0.6936,
3,"[0, 1, 4]",sbert,dbscan,0.7719,0.3373,0.1679,
3,"[0, 1, 4]",sbert,hdbscan,0.2904,0.2945,0.2554,
3,"[0, 2, 3]",sbert,kmeans,0.5101,0.5087,0.5094,
3,"[0, 2, 3]",sbert,hac,0.541,0.529,0.5219,
3,"[0, 2, 3]",sbert,spectral,0.4697,0.4489,0.4338,
3,"[0, 2, 4]",sbert,kmeans,0.7062,0.7069,0.7039,
3,"[0, 2, 4]",sbert,hac,0.6637,0.6525,0.636,
3,"[0, 2, 4]",sbert,spectral,0.6174,0.5527,0.5425,
3,"[0, 2, 4]",sbert,hdbscan,0.3703,0.3328,0.1694,
3,"[0, 3, 4]",sbert,kmeans,0.6417,0.6438,0.6416,
3,"[0, 3, 4]",sbert,hac,0.6643,0.6568,0.6349,
3,"[0, 3, 4]",sbert,spectral,0.582,0.5866,0.5798,
3,"[0, 3, 4]",sbert,hdbscan,0.5597,0.297,0.2624,
3,"[1, 2, 3]",sbert,kmeans,0.4781,0.5014,0.4841,
3,"[1, 2, 3]",sbert,hac,0.5691,0.4999,0.4812,
3,"[1, 2, 3]",sbert,spectral,0.4664,0.4909,0.4637,
3,"[1, 2, 4]",sbert,kmeans,0.7219,0.7296,0.7197,
3,"[1, 2, 4]",sbert,hac,0.618,0.6159,0.5783,
3,"[1, 2, 4]",sbert,spectral,0.5043,0.4651,0.4062,
3,"[1, 2, 4]",sbert,dbscan,0.4137,0.3337,0.1317,
3,"[1, 2, 4]",sbert,hdbscan,0.6126,0.4251,0.3462,
3,"[1, 3, 4]",sbert,kmeans,0.6594,0.6688,0.6523,
3,"[1, 3, 4]",sbert,hac,0.6682,0.609,0.6064,
3,"[1, 3, 4]",sbert,spectral,0.3532,0.4134,0.3693,
3,"[2, 3, 4]",sbert,kmeans,0.5391,0.5201,0.5229,
3,"[2, 3, 4]",sbert,hac,0.5005,0.4633,0.4581,
3,"[2, 3, 4]",sbert,spectral,0.5119,0.4828,0.4729,
3,"[2, 3, 4]",sbert,dbscan,0.5505,0.3353,0.1649,
4,"[0, 1, 2, 3]",sbert,kmeans,0.4857,0.5069,0.4919,
4,"[0, 1, 2, 3]",sbert,hac,0.499,0.4933,0.4809,
4,"[0, 1, 2, 3]",sbert,spectral,0.285,0.2983,0.253,
4,"[0, 1, 2, 3]",sbert,hdbscan,0.5137,0.2617,0.1404,
4,"[0, 1, 2, 4]",sbert,kmeans,0.6771,0.6749,0.6724,
4,"[0, 1, 2, 4]",sbert,hac,0.6006,0.5465,0.5508,
4,"[0, 1, 2, 4]",sbert,spectral,0.4345,0.4161,0.3574,
4,"[0, 1, 3, 4]",sbert,kmeans,0.6219,0.6248,0.6211,
4,"[0, 1, 3, 4]",sbert,hac,0.6019,0.5249,0.536,
4,"[0, 1, 3, 4]",sbert,spectral,0.3721,0.3919,0.3457,
4,"[0, 1, 3, 4]",sbert,dbscan,0.5662,0.253,0.1106,
4,"[0, 2, 3, 4]",sbert,kmeans,0.5362,0.5294,0.5293,
4,"[0, 2, 3, 4]",sbert,hac,0.4232,0.4393,0.4248,
4,"[0, 2, 3, 4]",sbert,spectral,0.4716,0.4681,0.4498,
4,"[0, 2, 3, 4]",sbert,hdbscan,0.2352,0.2038,0.0924,
4,"[1, 2, 3, 4]",sbert,kmeans,0.5036,0.5126,0.5065,
4,"[1, 2, 3, 4]",sbert,hac,0.437,0.4456,0.439,
4,"[1, 2, 3, 4]",sbert,spectral,0.3174,0.3315,0.307,
5,"[0, 1, 2, 3, 4]",sbert,kmeans,0.5339,0.5306,0.5268,
5,"[0, 1, 2, 3, 4]",sbert,hac,0.4971,0.4387,0.4402,
5,"[0, 1, 2, 3, 4]",sbert,spectral,0.3376,0.3456,0.3099,
5,"[0, 1, 2, 3, 4]",sbert,dbscan,0.5091,0.2027,0.0753,
2,"[0, 1]",sroberta,kmeans,0.8832,0.8896,0.8849,
2,"[0, 1]",sroberta,hac,0.8647,0.8295,0.8375,
2,"[0, 1]",sroberta,spectral,0.8813,0.859,0.8656,
2,"[0, 1]",sroberta,dbscan,0.7866,0.5053,0.3749,
2,"[0, 1]",sroberta,hdbscan,0.687,0.5069,0.3809,
2,"[0, 2]",sroberta,kmeans,0.7917,0.7891,0.7873,
2,"[0, 2]",sroberta,hac,0.7738,0.7582,0.7519,
2,"[0, 2]",sroberta,spectral,0.7497,0.7494,0.7495,
2,"[0, 2]",sroberta,dbscan,0.2539,0.4888,0.3342,
2,"[0, 2]",sroberta,hdbscan,0.5905,0.5018,0.346,
2,"[0, 3]",sroberta,kmeans,0.7859,0.8013,0.7728,
2,"[0, 3]",sroberta,hac,0.7786,0.7885,0.753,
2,"[0, 3]",sroberta,spectral,0.5808,0.5637,0.5594,
2,"[0, 3]",sroberta,dbscan,0.3072,0.4888,0.3773,
2,"[0, 3]",sroberta,hdbscan,0.8114,0.5065,0.3967,
2,"[0, 4]",sroberta,kmeans,0.8715,0.8833,0.8705,
2,"[0, 4]",sroberta,hac,0.8446,0.8524,0.847,
2,"[0, 4]",sroberta,spectral,0.8596,0.8708,0.8568,
2,"[0, 4]",sroberta,dbscan,0.4762,0.4963,0.3955,
2,"[0, 4]",sroberta,hdbscan,0.4876,0.4922,0.4615,
2,"[1, 2]",sroberta,kmeans,0.8197,0.8132,0.8155,
2,"[1, 2]",sroberta,hac,0.8291,0.7351,0.7344,
2,"[1, 2]",sroberta,spectral,0.546,0.5026,0.3733,
2,"[1, 2]",sroberta,dbscan,0.6219,0.5023,0.3139,
2,"[1, 2]",sroberta,hdbscan,0.5245,0.5221,0.4969,
2,"[1, 3]",sroberta,kmeans,0.7866,0.7796,0.7668,
2,"[1, 3]",sroberta,hac,0.7659,0.7504,0.7328,
2,"[1, 3]",sroberta,spectral,0.7479,0.7367,0.7388,
2,"[1, 3]",sroberta,dbscan,0.2746,0.4968,0.3537,
2,"[1, 3]",sroberta,hdbscan,0.7764,0.5039,0.3638,
2,"[1, 4]",sroberta,kmeans,0.797,0.8283,0.793,
2,"[1, 4]",sroberta,hac,0.8461,0.7491,0.7701,
2,"[1, 4]",sroberta,spectral,0.8833,0.813,0.8342,
2,"[1, 4]",sroberta,dbscan,0.5061,0.5001,0.2589,
2,"[1, 4]",sroberta,hdbscan,0.6311,0.6173,0.6208,
2,"[2, 3]",sroberta,kmeans,0.5695,0.5574,0.4981,
2,"[2, 3]",sroberta,hac,0.4581,0.4762,0.4383,
2,"[2, 3]",sroberta,spectral,0.5415,0.5424,0.5227,
2,"[2, 3]",sroberta,dbscan,0.4459,0.4984,0.3813,
2,"[2, 3]",sroberta,hdbscan,0.8047,0.5052,0.389,
2,"[2, 4]",sroberta,kmeans,0.818,0.8312,0.8134,
2,"[2, 4]",sroberta,hac,0.7515,0.6911,0.6213,
2,"[2, 4]",sroberta,spectral,0.8017,0.81,0.8044,
2,"[2, 4]",sroberta,dbscan,0.7009,0.505,0.2966,
