k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[0, 1]",sbert,kmeans,0.8939,0.8844,0.8881,0.25
2,"[0, 1]",sbert,kmeans,0.8939,0.8844,0.8881,0.5
2,"[0, 1]",sbert,kmeans,0.8939,0.8844,0.8881,0.75
2,"[0, 1]",sbert,hac,0.865,0.8401,0.8469,0.25
2,"[0, 1]",sbert,hac,0.865,0.8401,0.8469,0.5
2,"[0, 1]",sbert,hac,0.865,0.8401,0.8469,0.75
2,"[0, 1]",sbert,spectral,0.786,0.7918,0.7847,0.25
2,"[0, 1]",sbert,spectral,0.786,0.7918,0.7847,0.5
2,"[0, 1]",sbert,spectral,0.786,0.7918,0.7847,0.75
2,"[0, 1]",sbert,hdbscan,0.7861,0.5032,0.3703,0.25
2,"[0, 1]",sbert,hdbscan,0.7861,0.5032,0.3703,0.5
2,"[0, 1]",sbert,hdbscan,0.7861,0.5032,0.3703,0.75
2,"[0, 2]",sbert,kmeans,0.7554,0.7555,0.7554,0.25
2,"[0, 2]",sbert,kmeans,0.7554,0.7555,0.7554,0.5
2,"[0, 2]",sbert,kmeans,0.7554,0.7555,0.7554,0.75
2,"[0, 2]",sbert,hac,0.7621,0.7596,0.7577,0.25
2,"[0, 2]",sbert,hac,0.7621,0.7596,0.7577,0.5
2,"[0, 2]",sbert,hac,0.7621,0.7596,0.7577,0.75
2,"[0, 2]",sbert,spectral,0.713,0.712,0.7122,0.25
2,"[0, 2]",sbert,spectral,0.713,0.712,0.7122,0.5
2,"[0, 2]",sbert,spectral,0.713,0.712,0.7122,0.75
2,"[0, 2]",sbert,hdbscan,0.7589,0.5084,0.3577,0.25
2,"[0, 2]",sbert,hdbscan,0.7589,0.5084,0.3577,0.5
2,"[0, 2]",sbert,hdbscan,0.7589,0.5084,0.3577,0.75
2,"[0, 3]",sbert,kmeans,0.7631,0.7791,0.7591,0.25
2,"[0, 3]",sbert,kmeans,0.7631,0.7791,0.7591,0.5
2,"[0, 3]",sbert,kmeans,0.7631,0.7791,0.7591,0.75
2,"[0, 3]",sbert,hac,0.7645,0.7755,0.7429,0.25
2,"[0, 3]",sbert,hac,0.7645,0.7755,0.7429,0.5
2,"[0, 3]",sbert,hac,0.7645,0.7755,0.7429,0.75
2,"[0, 3]",sbert,spectral,0.5684,0.5518,0.5446,0.25
2,"[0, 3]",sbert,spectral,0.5684,0.5518,0.5446,0.5
2,"[0, 3]",sbert,spectral,0.5684,0.5518,0.5446,0.75
2,"[0, 3]",sbert,hdbscan,0.3826,0.4903,0.3843,0.25
2,"[0, 3]",sbert,hdbscan,0.3826,0.4903,0.3843,0.5
2,"[0, 3]",sbert,hdbscan,0.3826,0.4903,0.3843,0.75
2,"[0, 4]",sbert,kmeans,0.8694,0.8805,0.8707,0.25
2,"[0, 4]",sbert,kmeans,0.8694,0.8805,0.8707,0.5
2,"[0, 4]",sbert,kmeans,0.8694,0.8805,0.8707,0.75
2,"[0, 4]",sbert,hac,0.8139,0.8183,0.797,0.25
2,"[0, 4]",sbert,hac,0.8139,0.8183,0.797,0.5
2,"[0, 4]",sbert,hac,0.8139,0.8183,0.797,0.75
2,"[0, 4]",sbert,spectral,0.8467,0.8575,0.8436,0.25
2,"[0, 4]",sbert,spectral,0.8467,0.8575,0.8436,0.5
2,"[0, 4]",sbert,spectral,0.8467,0.8575,0.8436,0.75
2,"[0, 4]",sbert,hdbscan,0.5396,0.5003,0.2942,0.25
2,"[0, 4]",sbert,hdbscan,0.5396,0.5003,0.2942,0.5
2,"[0, 4]",sbert,hdbscan,0.422,0.478,0.3931,0.75
2,"[1, 2]",sbert,kmeans,0.8308,0.8234,0.8259,0.25
2,"[1, 2]",sbert,kmeans,0.8308,0.8234,0.8259,0.5
2,"[1, 2]",sbert,kmeans,0.8308,0.8234,0.8259,0.75
2,"[1, 2]",sbert,hac,0.841,0.7723,0.7766,0.25
2,"[1, 2]",sbert,hac,0.841,0.7723,0.7766,0.5
2,"[1, 2]",sbert,hac,0.841,0.7723,0.7766,0.75
2,"[1, 2]",sbert,spectral,0.8083,0.8035,0.8053,0.25
2,"[1, 2]",sbert,spectral,0.8083,0.8035,0.8053,0.5
2,"[1, 2]",sbert,spectral,0.8083,0.8035,0.8053,0.75
2,"[1, 2]",sbert,dbscan,0.6462,0.5072,0.3263,0.25
2,"[1, 2]",sbert,dbscan,0.6462,0.5072,0.3263,0.5
2,"[1, 2]",sbert,dbscan,0.6462,0.5072,0.3263,0.75
2,"[1, 2]",sbert,hdbscan,0.5511,0.5479,0.5458,0.25
2,"[1, 2]",sbert,hdbscan,0.5511,0.5479,0.5458,0.5
2,"[1, 2]",sbert,hdbscan,0.5511,0.5479,0.5458,0.75
2,"[1, 3]",sbert,kmeans,0.7925,0.7805,0.7652,0.25
2,"[1, 3]",sbert,kmeans,0.7925,0.7805,0.7652,0.5
2,"[1, 3]",sbert,kmeans,0.7925,0.7805,0.7652,0.75
2,"[1, 3]",sbert,hac,0.7472,0.6881,0.647,0.25
2,"[1, 3]",sbert,hac,0.7472,0.6881,0.647,0.5
2,"[1, 3]",sbert,hac,0.7472,0.6881,0.647,0.75
2,"[1, 3]",sbert,spectral,0.7533,0.748,0.7495,0.25
2,"[1, 3]",sbert,spectral,0.7533,0.748,0.7495,0.5
2,"[1, 3]",sbert,spectral,0.7533,0.748,0.7495,0.75
2,"[1, 3]",sbert,hdbscan,0.5627,0.5061,0.3837,0.25
2,"[1, 3]",sbert,hdbscan,0.5627,0.5061,0.3837,0.5
2,"[1, 3]",sbert,hdbscan,0.5627,0.5061,0.3837,0.75
2,"[1, 4]",sbert,kmeans,0.8266,0.8544,0.8333,0.25
2,"[1, 4]",sbert,kmeans,0.8266,0.8544,0.8333,0.5
2,"[1, 4]",sbert,kmeans,0.8266,0.8544,0.8333,0.75
2,"[1, 4]",sbert,hac,0.7098,0.7318,0.7056,0.25
2,"[1, 4]",sbert,hac,0.7098,0.7318,0.7056,0.5
2,"[1, 4]",sbert,hac,0.7098,0.7318,0.7056,0.75
2,"[1, 4]",sbert,spectral,0.8842,0.8098,0.8317,0.25
2,"[1, 4]",sbert,spectral,0.8842,0.8098,0.8317,0.5
2,"[1, 4]",sbert,spectral,0.8842,0.8098,0.8317,0.75
2,"[1, 4]",sbert,dbscan,0.6744,0.5371,0.337,0.25
2,"[1, 4]",sbert,dbscan,0.6744,0.5371,0.337,0.5
2,"[1, 4]",sbert,dbscan,0.6744,0.5371,0.337,0.75
2,"[1, 4]",sbert,hdbscan,0.6354,0.5765,0.5672,0.25
2,"[1, 4]",sbert,hdbscan,0.6354,0.5765,0.5672,0.5
2,"[1, 4]",sbert,hdbscan,0.6354,0.5765,0.5672,0.75
2,"[2, 3]",sbert,kmeans,0.5017,0.5018,0.4917,0.25
2,"[2, 3]",sbert,kmeans,0.4983,0.4982,0.4956,0.5
2,"[2, 3]",sbert,kmeans,0.4983,0.4982,0.4956,0.75
2,"[2, 3]",sbert,hac,0.4992,0.4992,0.4657,0.25
2,"[2, 3]",sbert,hac,0.5008,0.5008,0.4997,0.5
2,"[2, 3]",sbert,hac,0.5008,0.5008,0.4997,0.75
2,"[2, 3]",sbert,spectral,0.4787,0.4778,0.475,0.25
2,"[2, 3]",sbert,spectral,0.4787,0.4778,0.475,0.5
2,"[2, 3]",sbert,spectral,0.5213,0.5222,0.5126,0.75
2,"[2, 3]",sbert,dbscan,0.4025,0.4959,0.3801,0.25
2,"[2, 3]",sbert,dbscan,0.4025,0.4959,0.3801,0.5
2,"[2, 3]",sbert,dbscan,0.4025,0.4959,0.3801,0.75
2,"[2, 3]",sbert,hdbscan,0.463,0.4849,0.4274,0.25
2,"[2, 3]",sbert,hdbscan,0.463,0.4849,0.4274,0.5
2,"[2, 3]",sbert,hdbscan,0.463,0.4849,0.4274,0.75
