k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[0, 1]",logistic_regression,supervised,0.9413,0.8542,0.8863,
2,"[0, 2]",logistic_regression,supervised,0.8303,0.7837,0.7989,
2,"[0, 3]",logistic_regression,supervised,0.5188,0.5198,0.5107,
2,"[0, 4]",logistic_regression,supervised,1.0,1.0,1.0,
2,"[0, 5]",logistic_regression,supervised,0.4345,0.5,0.465,
2,"[0, 6]",logistic_regression,supervised,0.7579,0.7579,0.7556,
2,"[0, 7]",logistic_regression,supervised,0.4554,0.4762,0.4632,
2,"[0, 9]",logistic_regression,supervised,0.8545,0.8353,0.831,
2,"[1, 2]",logistic_regression,supervised,0.8621,0.8245,0.8332,
2,"[1, 3]",logistic_regression,supervised,0.8637,0.6498,0.6949,
2,"[1, 4]",logistic_regression,supervised,0.8246,0.747,0.7719,
2,"[1, 5]",logistic_regression,supervised,0.4913,0.5,0.4956,
2,"[1, 6]",logistic_regression,supervised,0.8327,0.7501,0.7771,
2,"[1, 9]",logistic_regression,supervised,0.8963,0.8244,0.8494,
2,"[2, 3]",logistic_regression,supervised,0.781,0.7552,0.746,
2,"[2, 4]",logistic_regression,supervised,1.0,1.0,1.0,
2,"[2, 5]",logistic_regression,supervised,0.6419,0.6667,0.6538,
2,"[2, 6]",logistic_regression,supervised,0.9167,0.8781,0.8734,
2,"[2, 9]",logistic_regression,supervised,0.9458,0.9236,0.9247,
2,"[3, 4]",logistic_regression,supervised,0.9444,0.9722,0.9515,
2,"[3, 5]",logistic_regression,supervised,0.4315,0.5,0.4632,
2,"[3, 6]",logistic_regression,supervised,0.5758,0.5714,0.572,
2,"[3, 9]",logistic_regression,supervised,0.8601,0.8552,0.8543,
2,"[4, 5]",logistic_regression,supervised,0.5278,0.6667,0.5778,
2,"[4, 6]",logistic_regression,supervised,1.0,1.0,1.0,
2,"[4, 9]",logistic_regression,supervised,0.8611,0.9286,0.8705,
2,"[5, 6]",logistic_regression,supervised,0.4375,0.5,0.4667,
2,"[5, 9]",logistic_regression,supervised,0.4398,0.5,0.468,
2,"[6, 9]",logistic_regression,supervised,0.8845,0.8601,0.8566,
3,"[0, 1, 2]",logistic_regression,supervised,0.7725,0.7418,0.7424,
3,"[0, 1, 3]",logistic_regression,supervised,0.6042,0.5384,0.5541,
3,"[0, 1, 4]",logistic_regression,supervised,0.8124,0.7652,0.7657,
3,"[0, 1, 5]",logistic_regression,supervised,0.5909,0.5192,0.5397,
3,"[0, 1, 6]",logistic_regression,supervised,0.7649,0.7117,0.7282,
3,"[0, 1, 9]",logistic_regression,supervised,0.7805,0.7686,0.7726,
3,"[0, 2, 3]",logistic_regression,supervised,0.6062,0.5973,0.597,
3,"[0, 2, 4]",logistic_regression,supervised,0.8364,0.8427,0.8372,
3,"[0, 2, 5]",logistic_regression,supervised,0.6387,0.6243,0.6271,
3,"[0, 2, 6]",logistic_regression,supervised,0.7338,0.7139,0.703,
