k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[0, 1]",sbert,kmeans,0.5427,0.5996,0.3711,
2,"[0, 1]",sbert,hac,0.5682,0.6614,0.4014,
2,"[0, 1]",sbert,spectral,0.5473,0.6143,0.3909,
2,"[0, 2]",sbert,kmeans,0.2674,0.3108,0.2875,
2,"[0, 2]",sbert,hac,0.2674,0.3108,0.2875,
2,"[0, 2]",sbert,spectral,0.2674,0.3108,0.2875,
2,"[0, 2]",sbert,dbscan,0.6053,0.6027,0.5437,
2,"[0, 2]",sbert,hdbscan,0.5167,0.5182,0.5012,
2,"[0, 3]",sbert,kmeans,0.7183,0.7171,0.7172,
2,"[0, 3]",sbert,hac,0.7184,0.7184,0.7179,
2,"[0, 3]",sbert,spectral,0.7011,0.6947,0.6905,
2,"[0, 4]",sbert,kmeans,0.5162,0.525,0.4482,
2,"[0, 4]",sbert,hac,0.5368,0.55,0.5322,
2,"[0, 4]",sbert,spectral,0.5833,0.625,0.5714,
2,"[0, 5]",sbert,kmeans,0.75,0.925,0.7928,
2,"[0, 5]",sbert,hac,0.6364,0.8,0.5893,
2,"[0, 5]",sbert,spectral,0.65,0.825,0.6247,
2,"[0, 6]",sbert,kmeans,0.8448,0.7857,0.7718,
2,"[0, 6]",sbert,hac,0.837,0.8274,0.8276,
2,"[0, 6]",sbert,spectral,0.9038,0.875,0.8754,
2,"[0, 6]",sbert,hdbscan,0.7703,0.5952,0.5109,
2,"[0, 7]",sbert,kmeans,0.625,0.85,0.6118,
2,"[0, 7]",sbert,hac,0.6667,0.9,0.6944,
2,"[0, 7]",sbert,spectral,0.6429,0.875,0.6508,
2,"[0, 8]",sbert,kmeans,0.4688,0.375,0.4167,
2,"[0, 8]",sbert,hac,0.4667,0.35,0.4,
2,"[0, 8]",sbert,spectral,0.55,0.775,0.4457,
2,"[0, 9]",sbert,kmeans,0.775,0.725,0.7035,
2,"[0, 9]",sbert,hac,0.775,0.725,0.7035,
