k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[0, 1]",logistic_regression,supervised,0.9563,0.9023,0.9271,
2,"[0, 2]",logistic_regression,supervised,0.9139,0.8722,0.8847,
2,"[0, 3]",logistic_regression,supervised,0.971,0.9333,0.9478,
2,"[0, 4]",logistic_regression,supervised,0.9314,0.9177,0.9193,
2,"[0, 5]",logistic_regression,supervised,0.8889,0.864,0.8649,
2,"[0, 6]",logistic_regression,supervised,0.8598,0.8843,0.8687,
2,"[0, 7]",logistic_regression,supervised,0.881,0.881,0.881,
2,"[0, 8]",logistic_regression,supervised,0.8216,0.6917,0.7184,
2,"[0, 9]",logistic_regression,supervised,0.9441,0.9077,0.9185,
2,"[0, 10]",logistic_regression,supervised,0.9698,0.9475,0.9579,
2,"[0, 11]",logistic_regression,supervised,0.9625,0.8864,0.9132,
2,"[1, 2]",logistic_regression,supervised,0.8639,0.7177,0.7588,
2,"[1, 3]",logistic_regression,supervised,0.8756,0.7644,0.8009,
2,"[1, 4]",logistic_regression,supervised,0.8355,0.8299,0.8313,
2,"[1, 5]",logistic_regression,supervised,0.892,0.8497,0.8682,
2,"[1, 6]",logistic_regression,supervised,0.8937,0.8445,0.8659,
2,"[1, 7]",logistic_regression,supervised,0.9619,0.8919,0.9219,
2,"[1, 8]",logistic_regression,supervised,0.9933,0.75,0.8173,
2,"[1, 9]",logistic_regression,supervised,0.842,0.7444,0.7739,
2,"[1, 10]",logistic_regression,supervised,0.8808,0.8851,0.8829,
2,"[1, 11]",logistic_regression,supervised,0.8722,0.8808,0.8721,
2,"[2, 3]",logistic_regression,supervised,0.8734,0.8389,0.8421,
2,"[2, 4]",logistic_regression,supervised,0.6871,0.6262,0.6332,
2,"[2, 5]",logistic_regression,supervised,0.8457,0.7986,0.7979,
2,"[2, 6]",logistic_regression,supervised,0.73,0.6132,0.635,
2,"[2, 7]",logistic_regression,supervised,0.7388,0.7661,0.7504,
2,"[2, 8]",logistic_regression,supervised,0.8194,0.75,0.7306,
2,"[2, 9]",logistic_regression,supervised,0.7244,0.7202,0.7181,
2,"[2, 10]",logistic_regression,supervised,0.7211,0.7099,0.7024,
2,"[2, 11]",logistic_regression,supervised,0.6878,0.6812,0.6738,
2,"[3, 4]",logistic_regression,supervised,0.838,0.7917,0.8054,
2,"[3, 5]",logistic_regression,supervised,0.8819,0.8125,0.8198,
2,"[3, 6]",logistic_regression,supervised,0.9644,0.8,0.8499,
2,"[3, 7]",logistic_regression,supervised,0.9167,0.7928,0.836,
2,"[3, 8]",logistic_regression,supervised,0.9056,0.8917,0.887,
2,"[3, 9]",logistic_regression,supervised,0.9606,0.9333,0.942,
2,"[3, 10]",logistic_regression,supervised,0.9772,0.8,0.8567,
2,"[3, 11]",logistic_regression,supervised,0.7642,0.7216,0.7191,
2,"[4, 5]",logistic_regression,supervised,0.8885,0.8039,0.8065,
2,"[4, 6]",logistic_regression,supervised,0.8233,0.8175,0.8159,
2,"[4, 7]",logistic_regression,supervised,0.8739,0.8766,0.8688,
2,"[4, 8]",logistic_regression,supervised,0.7596,0.7506,0.7393,
2,"[4, 9]",logistic_regression,supervised,0.8896,0.8256,0.8408,
2,"[4, 10]",logistic_regression,supervised,0.9166,0.931,0.923,
2,"[4, 11]",logistic_regression,supervised,0.8414,0.8386,0.8389,
2,"[5, 6]",logistic_regression,supervised,0.817,0.7097,0.7396,
2,"[5, 7]",logistic_regression,supervised,0.9013,0.8526,0.8614,
2,"[5, 8]",logistic_regression,supervised,0.8704,0.8125,0.8319,
2,"[5, 9]",logistic_regression,supervised,0.872,0.8631,0.8628,
2,"[5, 10]",logistic_regression,supervised,0.8731,0.834,0.8457,
2,"[5, 11]",logistic_regression,supervised,0.8362,0.7175,0.7459,
2,"[6, 7]",logistic_regression,supervised,0.9526,0.9511,0.9512,
2,"[6, 8]",logistic_regression,supervised,0.5273,0.6141,0.5504,
2,"[6, 9]",logistic_regression,supervised,0.905,0.8027,0.8308,
2,"[6, 10]",logistic_regression,supervised,0.9055,0.9013,0.9003,
2,"[6, 11]",logistic_regression,supervised,0.8324,0.8261,0.8262,
2,"[7, 8]",logistic_regression,supervised,0.7466,0.7541,0.7402,
2,"[7, 9]",logistic_regression,supervised,0.8561,0.8494,0.8489,
