k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[0, 1]",sbert,kmeans,0.4984,0.3752,0.3887,
2,"[0, 1]",sbert,hac,0.4979,0.3367,0.388,
2,"[0, 1]",sbert,spectral,0.4985,0.4982,0.4984,
2,"[0, 1]",sbert,dbscan,0.4985,0.4998,0.4992,
2,"[0, 2]",sbert,kmeans,0.5374,0.5616,0.517,
2,"[0, 2]",sbert,hac,0.4527,0.4283,0.4302,
2,"[0, 2]",sbert,spectral,0.4675,0.499,0.4542,
2,"[0, 2]",sbert,dbscan,0.4133,0.4998,0.4525,
2,"[1, 2]",sbert,kmeans,0.4901,0.3319,0.383,
2,"[1, 2]",sbert,hac,0.4904,0.3631,0.4173,
2,"[1, 2]",sbert,spectral,0.4908,0.3513,0.3974,
2,"[1, 2]",sbert,dbscan,0.5245,0.5151,0.5184,
3,"[0, 1, 2]",sbert,kmeans,0.347,0.5117,0.2446,
3,"[0, 1, 2]",sbert,hac,0.3277,0.2485,0.2545,
3,"[0, 1, 2]",sbert,spectral,0.3222,0.3314,0.3017,
2,"[0, 1]",sroberta,kmeans,0.4984,0.3788,0.3914,
2,"[0, 1]",sroberta,hac,0.5027,0.7216,0.3799,
2,"[0, 1]",sroberta,spectral,0.4985,0.4976,0.4981,
2,"[0, 2]",sroberta,kmeans,0.5301,0.5491,0.5102,
2,"[0, 2]",sroberta,hac,0.5162,0.5283,0.4605,
2,"[0, 2]",sroberta,spectral,0.413,0.4976,0.4513,
2,"[1, 2]",sroberta,kmeans,0.5108,0.6949,0.3413,
2,"[1, 2]",sroberta,hac,0.4899,0.3278,0.3798,
2,"[1, 2]",sroberta,spectral,0.4895,0.3302,0.3943,
2,"[1, 2]",sroberta,dbscan,0.507,0.5016,0.0171,
2,"[1, 2]",sroberta,hdbscan,0.5166,0.755,0.4473,
3,"[0, 1, 2]",sroberta,kmeans,0.3582,0.5166,0.232,
3,"[0, 1, 2]",sroberta,hac,0.3603,0.4589,0.265,
3,"[0, 1, 2]",sroberta,spectral,0.2744,0.33,0.2996,
2,"[0, 1]",mpnet,kmeans,0.4983,0.3637,0.3799,
2,"[0, 1]",mpnet,hac,0.4986,0.3912,0.4005,
2,"[0, 1]",mpnet,spectral,0.4985,0.4982,0.4984,
2,"[0, 2]",mpnet,kmeans,0.5232,0.5388,0.4958,
2,"[0, 2]",mpnet,hac,0.5014,0.5024,0.4337,
2,"[0, 2]",mpnet,spectral,0.4132,0.4994,0.4523,
2,"[1, 2]",mpnet,kmeans,0.5118,0.7143,0.3606,
2,"[1, 2]",mpnet,hac,0.5144,0.7588,0.3862,
2,"[1, 2]",mpnet,spectral,0.4903,0.3382,0.3877,
2,"[1, 2]",mpnet,dbscan,0.5071,0.5055,0.0247,
2,"[1, 2]",mpnet,hdbscan,0.5154,0.736,0.4458,
3,"[0, 1, 2]",mpnet,kmeans,0.3332,0.2657,0.2449,
3,"[0, 1, 2]",mpnet,hac,0.347,0.3157,0.3097,
3,"[0, 1, 2]",mpnet,spectral,0.2746,0.3313,0.3003,
2,"[0, 1]",minilm,kmeans,0.4986,0.3852,0.382,
2,"[0, 1]",minilm,hac,0.5013,0.6059,0.3107,
2,"[0, 1]",minilm,spectral,0.4985,0.4983,0.4984,
2,"[0, 2]",minilm,kmeans,0.5223,0.5372,0.496,
2,"[0, 2]",minilm,hac,0.4875,0.4799,0.4637,
2,"[0, 2]",minilm,spectral,0.4131,0.4983,0.4517,
2,"[0, 2]",minilm,dbscan,0.413,0.4976,0.4513,
