k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[0, 1]",sbert,kmeans,0.4984,0.3752,0.3887,
2,"[0, 1]",sbert,hac,0.5021,0.6633,0.2719,
2,"[0, 1]",sbert,spectral,0.4985,0.4982,0.4984,
2,"[0, 1]",sbert,dbscan,0.4985,0.4998,0.4992,
2,"[0, 2]",sbert,kmeans,0.5374,0.5615,0.5169,
2,"[0, 2]",sbert,hac,0.5473,0.5717,0.4108,
2,"[0, 2]",sbert,spectral,0.5325,0.501,0.1526,
2,"[0, 2]",sbert,dbscan,0.5682,0.5035,0.1571,
2,"[1, 2]",sbert,kmeans,0.4901,0.3319,0.383,
2,"[1, 2]",sbert,hac,0.4904,0.3631,0.4173,
2,"[1, 2]",sbert,spectral,0.4908,0.3513,0.3974,
2,"[1, 2]",sbert,dbscan,0.5245,0.5151,0.5184,
3,"[0, 1, 2]",sbert,kmeans,0.347,0.5117,0.2446,
3,"[0, 1, 2]",sbert,hac,0.37,0.5186,0.2538,
3,"[0, 1, 2]",sbert,spectral,0.3436,0.3336,0.1009,
2,"[0, 1]",sroberta,kmeans,0.5016,0.6212,0.2675,
2,"[0, 1]",sroberta,hac,0.5027,0.7216,0.3799,
2,"[0, 1]",sroberta,spectral,0.4985,0.4976,0.4981,
2,"[0, 2]",sroberta,kmeans,0.4699,0.4509,0.3638,
2,"[0, 2]",sroberta,hac,0.5162,0.5283,0.4605,
2,"[0, 2]",sroberta,spectral,0.413,0.4976,0.4513,
2,"[1, 2]",sroberta,kmeans,0.5108,0.6949,0.3413,
2,"[1, 2]",sroberta,hac,0.4899,0.3278,0.3798,
2,"[1, 2]",sroberta,spectral,0.4895,0.3302,0.3943,
2,"[1, 2]",sroberta,dbscan,0.507,0.5016,0.0171,
2,"[1, 2]",sroberta,hdbscan,0.5166,0.755,0.4473,
3,"[0, 1, 2]",sroberta,kmeans,0.3118,0.4695,0.2101,
3,"[0, 1, 2]",sroberta,hac,0.3603,0.4589,0.265,
3,"[0, 1, 2]",sroberta,spectral,0.2744,0.33,0.2996,
2,"[0, 1]",mpnet,kmeans,0.5017,0.6363,0.2837,
2,"[0, 1]",mpnet,hac,0.5014,0.6088,0.2536,
2,"[0, 1]",mpnet,spectral,0.4985,0.4982,0.4984,
2,"[0, 2]",mpnet,kmeans,0.4768,0.4612,0.3806,
2,"[0, 2]",mpnet,hac,0.5014,0.5024,0.4337,
2,"[0, 2]",mpnet,spectral,0.4132,0.4994,0.4523,
2,"[1, 2]",mpnet,kmeans,0.5118,0.7143,0.3606,
2,"[1, 2]",mpnet,hac,0.5144,0.7588,0.3862,
2,"[1, 2]",mpnet,spectral,0.4903,0.3382,0.3877,
2,"[1, 2]",mpnet,dbscan,0.5071,0.5055,0.0247,
2,"[1, 2]",mpnet,hdbscan,0.5154,0.736,0.4458,
3,"[0, 1, 2]",mpnet,kmeans,0.3332,0.2657,0.2449,
3,"[0, 1, 2]",mpnet,hac,0.3637,0.4318,0.1852,
3,"[0, 1, 2]",mpnet,spectral,0.2746,0.3313,0.3003,
2,"[0, 1]",minilm,kmeans,0.5014,0.6148,0.2811,
2,"[0, 1]",minilm,hac,0.5013,0.6059,0.3107,
2,"[0, 1]",minilm,spectral,0.4985,0.4983,0.4984,
2,"[0, 2]",minilm,kmeans,0.4777,0.4628,0.3797,
2,"[0, 2]",minilm,hac,0.5125,0.5201,0.3976,
2,"[0, 2]",minilm,spectral,0.4131,0.4983,0.4517,
2,"[0, 2]",minilm,dbscan,0.413,0.4976,0.4513,
2,"[1, 2]",minilm,kmeans,0.4903,0.3371,0.3869,
2,"[1, 2]",minilm,hac,0.4916,0.3758,0.4148,
2,"[1, 2]",minilm,spectral,0.4903,0.3379,0.3875,
2,"[1, 2]",minilm,dbscan,0.507,0.5016,0.0171,
2,"[1, 2]",minilm,hdbscan,0.5167,0.7461,0.4549,
3,"[0, 1, 2]",minilm,kmeans,0.3399,0.452,0.2446,
3,"[0, 1, 2]",minilm,hac,0.3659,0.4966,0.22,
3,"[0, 1, 2]",minilm,spectral,0.2744,0.3301,0.2997,
3,"[0, 1, 2]",minilm,dbscan,0.2746,0.3316,0.3004,
2,"[0, 1]",e5,kmeans,0.4983,0.3601,0.362,
2,"[0, 1]",e5,hac,0.4995,0.4702,0.4418,
2,"[0, 1]",e5,spectral,0.4985,0.4983,0.4984,
2,"[0, 2]",e5,kmeans,0.5256,0.5439,0.4891,
2,"[0, 2]",e5,hac,0.4963,0.4935,0.4253,
2,"[0, 2]",e5,spectral,0.4131,0.4983,0.4517,
2,"[1, 2]",e5,kmeans,0.4902,0.3344,0.3848,
2,"[1, 2]",e5,hac,0.4906,0.3477,0.3948,
2,"[1, 2]",e5,spectral,0.4929,0.4935,0.4932,
