k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[0, 1]",sbert,kmeans,0.523,0.5266,0.4794,
2,"[0, 1]",sbert,hac,0.5249,0.5257,0.4461,
2,"[0, 1]",sbert,spectral,0.4662,0.4647,0.4652,
2,"[0, 1]",sbert,hdbscan,0.5507,0.5533,0.5515,
2,"[0, 1]",sroberta,kmeans,0.478,0.4744,0.4684,
2,"[0, 1]",sroberta,hac,0.4741,0.4721,0.472,
2,"[0, 1]",sroberta,spectral,0.4626,0.4628,0.4627,
2,"[0, 1]",sroberta,dbscan,0.6492,0.502,0.2338,
2,"[0, 1]",sroberta,hdbscan,0.6291,0.5497,0.3463,
2,"[0, 1]",mpnet,kmeans,0.5225,0.5265,0.4857,
2,"[0, 1]",mpnet,hac,0.4715,0.4673,0.4643,
2,"[0, 1]",mpnet,spectral,0.5364,0.5385,0.4631,
2,"[0, 1]",mpnet,dbscan,0.6492,0.5016,0.233,
2,"[0, 1]",mpnet,hdbscan,0.5675,0.5775,0.5656,
2,"[0, 1]",minilm,kmeans,0.5305,0.535,0.4827,
2,"[0, 1]",minilm,hac,0.5314,0.5347,0.4711,
2,"[0, 1]",minilm,spectral,0.5426,0.5448,0.4664,
2,"[0, 1]",e5,kmeans,0.5214,0.5248,0.479,
2,"[0, 1]",e5,hac,0.4845,0.4821,0.4768,
2,"[0, 1]",e5,spectral,0.5588,0.5599,0.4718,
2,"[0, 1]",e5,dbscan,0.6492,0.5016,0.233,
2,"[0, 1]",e5,hdbscan,0.5809,0.5833,0.4942,
2,"[0, 1]",instructor,kmeans,0.5264,0.5297,0.4721,
2,"[0, 1]",instructor,hac,0.4633,0.4711,0.4627,
2,"[0, 1]",instructor,spectral,0.5265,0.5291,0.4641,
2,"[0, 1]",instructor,dbscan,0.6522,0.505,0.4261,
2,"[0, 1]",instructor,hdbscan,0.5424,0.5094,0.2804,
2,"[0, 1]",bge,kmeans,0.5325,0.5376,0.4884,
2,"[0, 1]",bge,hac,0.5378,0.5429,0.4857,
2,"[0, 1]",bge,spectral,0.5342,0.5384,0.4784,
2,"[0, 1]",bge,dbscan,0.5729,0.5648,0.5667,
2,"[0, 1]",bge,hdbscan,0.5943,0.5818,0.4603,
2,"[0, 1]",gte,kmeans,0.5334,0.5382,0.4844,
2,"[0, 1]",gte,hac,0.5256,0.5296,0.4805,
2,"[0, 1]",gte,spectral,0.531,0.5349,0.4774,
2,"[0, 1]",gte,hdbscan,0.582,0.5767,0.5786,
2,"[0, 1]",w2v_self,kmeans,0.6356,0.5845,0.4187,
2,"[0, 1]",w2v_self,hac,0.6155,0.5751,0.4154,
2,"[0, 1]",w2v_self,spectral,0.8536,0.5115,0.4368,
2,"[0, 1]",w2v_self,hdbscan,0.5677,0.5355,0.5222,
2,"[0, 1]",w2v_pretrained,kmeans,0.5357,0.5419,0.4985,
2,"[0, 1]",w2v_pretrained,hac,0.519,0.5223,0.4827,
2,"[0, 1]",w2v_pretrained,spectral,0.4185,0.4961,0.4143,
2,"[0, 1]",w2v_pretrained,hdbscan,0.5331,0.5377,0.4829,
2,"[0, 1]",fasttext_pretrained,kmeans,0.5514,0.5567,0.489,
2,"[0, 1]",fasttext_pretrained,hac,0.5127,0.5152,0.4904,
2,"[0, 1]",fasttext_pretrained,spectral,0.3501,0.4951,0.4102,
2,"[0, 1]",fasttext_pretrained,dbscan,0.5175,0.5101,0.494,
2,"[0, 1]",fasttext_pretrained,hdbscan,0.5187,0.5075,0.4764,
2,"[0, 1]",glove_pretrained,kmeans,0.537,0.5435,0.5005,
2,"[0, 1]",glove_pretrained,hac,0.5183,0.5217,0.5054,
2,"[0, 1]",glove_pretrained,spectral,0.56,0.5628,0.4807,
2,"[0, 1]",glove_pretrained,hdbscan,0.4826,0.4919,0.4623,
