k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[0, 1]",sbert,kmeans,0.523,0.5266,0.4794,
2,"[0, 1]",sbert,hac,0.5249,0.5257,0.4461,
2,"[0, 1]",sbert,spectral,0.4662,0.4647,0.4652,
2,"[0, 1]",sbert,hdbscan,0.5507,0.5533,0.5515,
2,"[0, 1]",sroberta,kmeans,0.478,0.4744,0.4684,
2,"[0, 1]",sroberta,hac,0.4741,0.4721,0.472,
2,"[0, 1]",sroberta,spectral,0.4626,0.4628,0.4627,
2,"[0, 1]",sroberta,dbscan,0.6492,0.5016,0.233,
2,"[0, 1]",sroberta,hdbscan,0.6291,0.5497,0.3463,
2,"[0, 1]",mpnet,kmeans,0.5225,0.5265,0.4857,
2,"[0, 1]",mpnet,hac,0.5285,0.5327,0.4812,
2,"[0, 1]",mpnet,spectral,0.5364,0.5385,0.4631,
2,"[0, 1]",mpnet,dbscan,0.6492,0.5016,0.233,
2,"[0, 1]",mpnet,hdbscan,0.5675,0.5775,0.5656,
2,"[0, 1]",minilm,kmeans,0.4695,0.465,0.4622,
2,"[0, 1]",minilm,hac,0.4686,0.4653,0.4648,
2,"[0, 1]",minilm,spectral,0.4574,0.4552,0.4559,
2,"[0, 1]",e5,kmeans,0.5214,0.5248,0.479,
2,"[0, 1]",e5,hac,0.5155,0.5179,0.4717,
2,"[0, 1]",e5,spectral,0.4412,0.4401,0.4406,
2,"[0, 1]",e5,dbscan,0.6492,0.5016,0.233,
2,"[0, 1]",e5,hdbscan,0.5809,0.5833,0.4942,
2,"[0, 1]",instructor,kmeans,0.4736,0.4703,0.4686,
2,"[0, 1]",instructor,hac,0.4633,0.4711,0.4627,
2,"[0, 1]",instructor,spectral,0.4735,0.4709,0.4705,
2,"[0, 1]",instructor,dbscan,0.6522,0.505,0.4261,
2,"[0, 1]",instructor,hdbscan,0.5424,0.5094,0.2804,
2,"[0, 1]",bge,kmeans,0.4675,0.4624,0.4588,
2,"[0, 1]",bge,hac,0.4622,0.4571,0.4558,
2,"[0, 1]",bge,spectral,0.4658,0.4616,0.4607,
2,"[0, 1]",bge,dbscan,0.5729,0.5648,0.5667,
2,"[0, 1]",bge,hdbscan,0.5943,0.5818,0.4603,
2,"[0, 1]",gte,kmeans,0.4666,0.4618,0.4596,
2,"[0, 1]",gte,hac,0.4744,0.4704,0.4665,
2,"[0, 1]",gte,spectral,0.469,0.4651,0.4635,
2,"[0, 1]",gte,hdbscan,0.582,0.5767,0.5786,
2,"[0, 1]",w2v_self,kmeans,0.3644,0.4155,0.3842,
2,"[0, 1]",w2v_self,hac,0.3845,0.4249,0.3984,
2,"[0, 1]",w2v_self,spectral,0.1464,0.4885,0.2253,
2,"[0, 1]",w2v_self,hdbscan,0.5677,0.5355,0.5222,
2,"[0, 1]",w2v_pretrained,kmeans,0.4643,0.4581,0.4525,
2,"[0, 1]",w2v_pretrained,hac,0.481,0.4777,0.4697,
2,"[0, 1]",w2v_pretrained,spectral,0.4185,0.4961,0.4143,
2,"[0, 1]",w2v_pretrained,hdbscan,0.5331,0.5377,0.4829,
2,"[0, 1]",fasttext_pretrained,kmeans,0.4486,0.4433,0.4441,
2,"[0, 1]",fasttext_pretrained,hac,0.5127,0.5152,0.4904,
2,"[0, 1]",fasttext_pretrained,spectral,0.3501,0.4951,0.4102,
2,"[0, 1]",fasttext_pretrained,dbscan,0.5175,0.5101,0.494,
2,"[0, 1]",fasttext_pretrained,hdbscan,0.5187,0.5075,0.4764,
2,"[0, 1]",glove_pretrained,kmeans,0.463,0.4565,0.4507,
2,"[0, 1]",glove_pretrained,hac,0.4817,0.4783,0.4511,
2,"[0, 1]",glove_pretrained,spectral,0.44,0.4372,0.4383,
2,"[0, 1]",glove_pretrained,hdbscan,0.4826,0.4919,0.4623,
