k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[0, 1]",sbert,kmeans,0.6222,0.625,0.5861,0.25
2,"[0, 1]",sbert,kmeans,0.6222,0.625,0.5861,0.5
2,"[0, 1]",sbert,kmeans,0.6222,0.625,0.5861,0.75
2,"[0, 1]",sbert,hac,0.6279,0.6303,0.5901,0.25
2,"[0, 1]",sbert,hac,0.6279,0.6303,0.5901,0.5
2,"[0, 1]",sbert,hac,0.6279,0.6303,0.5901,0.75
2,"[0, 1]",sbert,spectral,0.635,0.6404,0.6052,0.25
2,"[0, 1]",sbert,spectral,0.635,0.6404,0.6052,0.5
2,"[0, 1]",sbert,spectral,0.635,0.6404,0.6052,0.75
2,"[0, 1]",sbert,dbscan,0.4538,0.4837,0.4243,0.25
2,"[0, 1]",sbert,dbscan,0.772,0.5225,0.4369,0.5
2,"[0, 1]",sbert,dbscan,0.772,0.5225,0.4369,0.75
2,"[0, 1]",sbert,hdbscan,0.595,0.5856,0.5869,0.25
2,"[0, 1]",sbert,hdbscan,0.595,0.5856,0.5869,0.5
2,"[0, 1]",sbert,hdbscan,0.595,0.5856,0.5869,0.75
2,"[0, 1]",sroberta,kmeans,0.6343,0.6381,0.5997,0.25
2,"[0, 1]",sroberta,kmeans,0.6343,0.6381,0.5997,0.5
2,"[0, 1]",sroberta,kmeans,0.6343,0.6381,0.5997,0.75
2,"[0, 1]",sroberta,hac,0.6317,0.635,0.5959,0.25
2,"[0, 1]",sroberta,hac,0.6317,0.635,0.5959,0.5
2,"[0, 1]",sroberta,hac,0.6317,0.635,0.5959,0.75
2,"[0, 1]",sroberta,spectral,0.647,0.6535,0.6188,0.25
2,"[0, 1]",sroberta,spectral,0.647,0.6535,0.6188,0.5
2,"[0, 1]",sroberta,spectral,0.647,0.6535,0.6188,0.75
2,"[0, 1]",sroberta,dbscan,0.3152,0.4938,0.3848,0.25
2,"[0, 1]",sroberta,dbscan,0.3152,0.4938,0.3848,0.5
2,"[0, 1]",sroberta,dbscan,0.3152,0.4938,0.3848,0.75
2,"[0, 1]",sroberta,hdbscan,0.5908,0.5958,0.5908,0.25
2,"[0, 1]",sroberta,hdbscan,0.5908,0.5958,0.5908,0.5
2,"[0, 1]",sroberta,hdbscan,0.5908,0.5958,0.5908,0.75
2,"[0, 1]",mpnet,kmeans,0.6371,0.6407,0.6017,0.25
2,"[0, 1]",mpnet,kmeans,0.6371,0.6407,0.6017,0.5
2,"[0, 1]",mpnet,kmeans,0.6371,0.6407,0.6017,0.75
2,"[0, 1]",mpnet,hac,0.6457,0.652,0.6169,0.25
2,"[0, 1]",mpnet,hac,0.6457,0.652,0.6169,0.5
2,"[0, 1]",mpnet,hac,0.6457,0.652,0.6169,0.75
2,"[0, 1]",mpnet,spectral,0.6498,0.6562,0.6208,0.25
2,"[0, 1]",mpnet,spectral,0.6498,0.6562,0.6208,0.5
2,"[0, 1]",mpnet,spectral,0.6498,0.6562,0.6208,0.75
2,"[0, 1]",mpnet,hdbscan,0.5743,0.5715,0.5723,0.25
2,"[0, 1]",mpnet,hdbscan,0.5743,0.5715,0.5723,0.5
2,"[0, 1]",mpnet,hdbscan,0.5743,0.5715,0.5723,0.75
2,"[0, 1]",minilm,kmeans,0.6327,0.6369,0.5996,0.25
2,"[0, 1]",minilm,kmeans,0.6327,0.6369,0.5996,0.5
2,"[0, 1]",minilm,kmeans,0.6327,0.6369,0.5996,0.75
2,"[0, 1]",minilm,hac,0.6393,0.6442,0.6074,0.25
2,"[0, 1]",minilm,hac,0.6393,0.6442,0.6074,0.5
2,"[0, 1]",minilm,hac,0.6393,0.6442,0.6074,0.75
2,"[0, 1]",minilm,spectral,0.6457,0.652,0.6169,0.25
2,"[0, 1]",minilm,spectral,0.6457,0.652,0.6169,0.5
2,"[0, 1]",minilm,spectral,0.6457,0.652,0.6169,0.75
2,"[0, 1]",minilm,hdbscan,0.6224,0.6316,0.6185,0.25
2,"[0, 1]",minilm,hdbscan,0.6224,0.6316,0.6185,0.5
2,"[0, 1]",minilm,hdbscan,0.6224,0.6316,0.6185,0.75
2,"[0, 1]",e5,kmeans,0.6279,0.6303,0.5901,0.25
2,"[0, 1]",e5,kmeans,0.6279,0.6303,0.5901,0.5
2,"[0, 1]",e5,kmeans,0.6279,0.6303,0.5901,0.75
2,"[0, 1]",e5,hac,0.6475,0.6527,0.6152,0.25
2,"[0, 1]",e5,hac,0.6475,0.6527,0.6152,0.5
2,"[0, 1]",e5,hac,0.6475,0.6527,0.6152,0.75
2,"[0, 1]",e5,spectral,0.6444,0.6504,0.615,0.25
2,"[0, 1]",e5,spectral,0.6444,0.6504,0.615,0.5
2,"[0, 1]",e5,spectral,0.6444,0.6504,0.615,0.75
2,"[0, 1]",e5,dbscan,0.6412,0.6499,0.6214,0.25
2,"[0, 1]",e5,dbscan,0.6412,0.6499,0.6214,0.5
2,"[0, 1]",e5,dbscan,0.6412,0.6499,0.6214,0.75
2,"[0, 1]",e5,hdbscan,0.6388,0.6485,0.6241,0.25
2,"[0, 1]",e5,hdbscan,0.6388,0.6485,0.6241,0.5
2,"[0, 1]",e5,hdbscan,0.6388,0.6485,0.6241,0.75
2,"[0, 1]",instructor,kmeans,0.6343,0.6381,0.5997,0.25
2,"[0, 1]",instructor,kmeans,0.6343,0.6381,0.5997,0.5
2,"[0, 1]",instructor,kmeans,0.6343,0.6381,0.5997,0.75
2,"[0, 1]",instructor,hac,0.6406,0.6458,0.6093,0.25
2,"[0, 1]",instructor,hac,0.6406,0.6458,0.6093,0.5
2,"[0, 1]",instructor,hac,0.6406,0.6458,0.6093,0.75
2,"[0, 1]",instructor,spectral,0.6457,0.652,0.6169,0.25
2,"[0, 1]",instructor,spectral,0.6457,0.652,0.6169,0.5
2,"[0, 1]",instructor,spectral,0.6457,0.652,0.6169,0.75
2,"[0, 1]",instructor,hdbscan,0.6007,0.6072,0.5998,0.25
2,"[0, 1]",instructor,hdbscan,0.6007,0.6072,0.5998,0.5
2,"[0, 1]",instructor,hdbscan,0.6007,0.6072,0.5998,0.75
2,"[0, 1]",bge,kmeans,0.6173,0.6184,0.5764,0.25
2,"[0, 1]",bge,kmeans,0.6173,0.6184,0.5764,0.5
2,"[0, 1]",bge,kmeans,0.6173,0.6184,0.5764,0.75
2,"[0, 1]",bge,hac,0.6338,0.6389,0.6033,0.25
2,"[0, 1]",bge,hac,0.6338,0.6389,0.6033,0.5
2,"[0, 1]",bge,hac,0.6338,0.6389,0.6033,0.75
2,"[0, 1]",bge,spectral,0.6404,0.6462,0.611,0.25
2,"[0, 1]",bge,spectral,0.6404,0.6462,0.611,0.5
2,"[0, 1]",bge,spectral,0.6404,0.6462,0.611,0.75
2,"[0, 1]",bge,hdbscan,0.6392,0.6499,0.6327,0.25
2,"[0, 1]",bge,hdbscan,0.6392,0.6499,0.6327,0.5
2,"[0, 1]",bge,hdbscan,0.6392,0.6499,0.6327,0.75
2,"[0, 1]",gte,kmeans,0.6241,0.6257,0.5843,0.25
2,"[0, 1]",gte,kmeans,0.6241,0.6257,0.5843,0.5
2,"[0, 1]",gte,kmeans,0.6241,0.6257,0.5843,0.75
2,"[0, 1]",gte,hac,0.6432,0.6489,0.6131,0.25
2,"[0, 1]",gte,hac,0.6432,0.6489,0.6131,0.5
2,"[0, 1]",gte,hac,0.6432,0.6489,0.6131,0.75
2,"[0, 1]",gte,spectral,0.647,0.6535,0.6188,0.25
2,"[0, 1]",gte,spectral,0.647,0.6535,0.6188,0.5
2,"[0, 1]",gte,spectral,0.647,0.6535,0.6188,0.75
2,"[0, 1]",gte,dbscan,0.6321,0.6411,0.6165,0.25
2,"[0, 1]",gte,dbscan,0.6321,0.6411,0.6165,0.5
2,"[0, 1]",gte,dbscan,0.6321,0.6411,0.6165,0.75
2,"[0, 1]",gte,hdbscan,0.6044,0.6117,0.6021,0.25
2,"[0, 1]",gte,hdbscan,0.6044,0.6117,0.6021,0.5
2,"[0, 1]",gte,hdbscan,0.6044,0.6117,0.6021,0.75
2,"[0, 1]",w2v_self,kmeans,0.6349,0.6409,0.607,0.25
2,"[0, 1]",w2v_self,kmeans,0.6349,0.6409,0.607,0.5
2,"[0, 1]",w2v_self,kmeans,0.6349,0.6409,0.607,0.75
2,"[0, 1]",w2v_self,hac,0.6334,0.6397,0.6068,0.25
2,"[0, 1]",w2v_self,hac,0.6334,0.6397,0.6068,0.5
2,"[0, 1]",w2v_self,hac,0.6334,0.6397,0.6068,0.75
2,"[0, 1]",w2v_self,spectral,0.715,0.6844,0.6917,0.25
2,"[0, 1]",w2v_self,spectral,0.715,0.6844,0.6917,0.5
2,"[0, 1]",w2v_self,spectral,0.715,0.6844,0.6917,0.75
2,"[0, 1]",w2v_pretrained,kmeans,0.6916,0.6693,0.675,0.25
2,"[0, 1]",w2v_pretrained,kmeans,0.6916,0.6693,0.675,0.5
2,"[0, 1]",w2v_pretrained,kmeans,0.6916,0.6693,0.675,0.75
2,"[0, 1]",w2v_pretrained,hac,0.3319,0.3752,0.295,0.25
2,"[0, 1]",w2v_pretrained,hac,0.6681,0.6248,0.6269,0.5
2,"[0, 1]",w2v_pretrained,hac,0.6681,0.6248,0.6269,0.75
2,"[0, 1]",w2v_pretrained,spectral,0.316,0.3542,0.2852,0.25
2,"[0, 1]",w2v_pretrained,spectral,0.684,0.6458,0.6507,0.5
2,"[0, 1]",w2v_pretrained,spectral,0.684,0.6458,0.6507,0.75
2,"[0, 1]",w2v_pretrained,dbscan,0.4887,0.4934,0.3781,0.25
2,"[0, 1]",w2v_pretrained,dbscan,0.4887,0.4934,0.3781,0.5
2,"[0, 1]",w2v_pretrained,dbscan,0.4887,0.4934,0.3781,0.75
2,"[0, 1]",w2v_pretrained,hdbscan,0.484,0.4858,0.4282,0.25
2,"[0, 1]",w2v_pretrained,hdbscan,0.484,0.4858,0.4282,0.5
2,"[0, 1]",w2v_pretrained,hdbscan,0.484,0.4858,0.4282,0.75
2,"[0, 1]",fasttext_pretrained,kmeans,0.7064,0.6914,0.6964,0.25
2,"[0, 1]",fasttext_pretrained,kmeans,0.7064,0.6914,0.6964,0.5
2,"[0, 1]",fasttext_pretrained,kmeans,0.7064,0.6914,0.6964,0.75
2,"[0, 1]",fasttext_pretrained,hac,0.3014,0.3238,0.2762,0.25
2,"[0, 1]",fasttext_pretrained,hac,0.6986,0.6762,0.6822,0.5
2,"[0, 1]",fasttext_pretrained,hac,0.6986,0.6762,0.6822,0.75
2,"[0, 1]",fasttext_pretrained,spectral,0.3189,0.3629,0.2862,0.25
2,"[0, 1]",fasttext_pretrained,spectral,0.6811,0.6371,0.6408,0.5
2,"[0, 1]",fasttext_pretrained,spectral,0.6811,0.6371,0.6408,0.75
2,"[0, 1]",fasttext_pretrained,hdbscan,0.6202,0.5148,0.4321,0.25
2,"[0, 1]",fasttext_pretrained,hdbscan,0.6202,0.5148,0.4321,0.5
2,"[0, 1]",fasttext_pretrained,hdbscan,0.6202,0.5148,0.4321,0.75
2,"[0, 1]",glove_pretrained,kmeans,0.6149,0.6189,0.5838,0.25
2,"[0, 1]",glove_pretrained,kmeans,0.6149,0.6189,0.5838,0.5
2,"[0, 1]",glove_pretrained,kmeans,0.6149,0.6189,0.5838,0.75
2,"[0, 1]",glove_pretrained,hac,0.2978,0.3498,0.2709,0.25
2,"[0, 1]",glove_pretrained,hac,0.2978,0.3498,0.2709,0.5
2,"[0, 1]",glove_pretrained,hac,0.7022,0.6502,0.6553,0.75
2,"[0, 1]",glove_pretrained,spectral,0.6332,0.641,0.6119,0.25
2,"[0, 1]",glove_pretrained,spectral,0.6332,0.641,0.6119,0.5
2,"[0, 1]",glove_pretrained,spectral,0.6332,0.641,0.6119,0.75
